#  GRUMMAN K-2 AIRFOIL                             
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  13.0000
#
#    x           cf
   0.11783E-03  0.27778E-03
   0.21595E-03  0.13709E-02
   0.35184E-03  0.43637E-02
   0.53406E-03  0.51875E-02
   0.77928E-03  0.94713E-02
   0.11088E-02  0.10410E-01
   0.15428E-02  0.13030E-01
   0.20737E-02  0.12017E-01
   0.26829E-02  0.13217E-01
   0.33776E-02  0.11372E-01
   0.41380E-02  0.90988E-02
   0.49506E-02  0.10488E-01
   0.58109E-02  0.89743E-02
   0.67178E-02  0.98154E-02
   0.76703E-02  0.84826E-02
   0.86679E-02  0.85216E-02
   0.97117E-02  0.81731E-02
   0.10803E-01  0.85167E-02
   0.11945E-01  0.79480E-02
   0.13139E-01  0.76413E-02
   0.14387E-01  0.78655E-02
   0.15692E-01  0.77680E-02
   0.17058E-01  0.77619E-02
   0.18491E-01  0.71875E-02
   0.19998E-01  0.69679E-02
   0.21585E-01  0.63212E-02
   0.23258E-01  0.59781E-02
   0.25022E-01  0.54949E-02
   0.26881E-01  0.52211E-02
   0.28836E-01  0.54668E-02
   0.30889E-01  0.60085E-02
   0.33045E-01  0.60728E-02
   0.35314E-01  0.64005E-02
   0.37710E-01  0.57558E-02
   0.40241E-01  0.53082E-02
   0.42915E-01  0.52872E-02
   0.45741E-01  0.50076E-02
   0.48729E-01  0.48204E-02
   0.51887E-01  0.44386E-02
   0.55233E-01  0.42465E-02
   0.58788E-01  0.37825E-02
   0.62566E-01  0.34074E-02
   0.66577E-01  0.31834E-02
   0.70849E-01  0.28707E-02
   0.75402E-01  0.28370E-02
   0.80243E-01  0.27582E-02
   0.85374E-01  0.27285E-02
   0.90785E-01  0.26631E-02
   0.96466E-01  0.26001E-02
   0.10240      0.25662E-02
   0.10856      0.24869E-02
   0.11493      0.24364E-02
   0.12147      0.23697E-02
   0.12818      0.23060E-02
   0.13503      0.22495E-02
   0.14200      0.21278E-02
   0.14907      0.21037E-02
   0.15624      0.19844E-02
   0.16349      0.19999E-02
   0.17081      0.18754E-02
   0.17820      0.18480E-02
   0.18563      0.18229E-02
   0.19311      0.17393E-02
   0.20063      0.17125E-02
   0.20817      0.16904E-02
   0.21574      0.16360E-02
   0.22333      0.16117E-02
   0.23092      0.15934E-02
   0.23850      0.15683E-02
   0.24607      0.15274E-02
   0.25361      0.15286E-02
   0.26108      0.15118E-02
   0.26847      0.14672E-02
   0.27579      0.14356E-02
   0.28299      0.14396E-02
   0.29002      0.15449E-02
   0.29682      0.15763E-02
   0.30343      0.14836E-02
   0.30988      0.11994E-02
   0.31625      0.94478E-03
   0.32258      0.85591E-03
   0.32892      0.97428E-03
   0.33530      0.12365E-02
   0.34179      0.14881E-02
   0.34842      0.15756E-02
   0.35524      0.15030E-02
   0.36229      0.13711E-02
   0.36954      0.12853E-02
   0.37694      0.12649E-02
   0.38445      0.12716E-02
   0.39202      0.12664E-02
   0.39966      0.12444E-02
   0.40737      0.12364E-02
   0.41514      0.12149E-02
   0.42295      0.11990E-02
   0.43079      0.11886E-02
   0.43864      0.11799E-02
   0.44650      0.11694E-02
   0.45437      0.11652E-02
   0.46224      0.11539E-02
   0.47012      0.11495E-02
   0.47801      0.11383E-02
   0.48590      0.11299E-02
   0.49380      0.11220E-02
   0.50169      0.11148E-02
   0.50958      0.11070E-02
   0.51748      0.11000E-02
   0.52537      0.10920E-02
   0.53326      0.10887E-02
   0.54115      0.10771E-02
   0.54904      0.10758E-02
   0.55693      0.10681E-02
   0.56482      0.10597E-02
   0.57270      0.10552E-02
   0.58058      0.10472E-02
   0.58846      0.10409E-02
   0.59633      0.10325E-02
   0.60421      0.10277E-02
   0.61208      0.10277E-02
   0.61994      0.10209E-02
   0.62779      0.10178E-02
   0.63563      0.10113E-02
   0.64347      0.10057E-02
   0.65129      0.10015E-02
   0.65911      0.99677E-03
   0.66693      0.98605E-03
   0.67473      0.98376E-03
   0.68252      0.97685E-03
   0.69030      0.97051E-03
   0.69806      0.96409E-03
   0.70580      0.95946E-03
   0.71350      0.94918E-03
   0.72118      0.94377E-03
   0.72884      0.93222E-03
   0.73646      0.91684E-03
   0.74405      0.90054E-03
   0.75161      0.86718E-03
   0.75914      0.83673E-03
   0.76665      0.79081E-03
   0.77414      0.73741E-03
   0.78162      0.67629E-03
   0.78909      0.60605E-03
   0.79655      0.52109E-03
   0.80402      0.43196E-03
   0.81149      0.33604E-03
   0.81896      0.23740E-03
   0.82645      0.14119E-03
   0.83396      0.54677E-04
   0.84146     -0.10835E-04
   0.84891     -0.59773E-04
   0.85628     -0.90976E-04
   0.86355     -0.10682E-03
   0.87073     -0.11136E-03
   0.87782     -0.11023E-03
   0.88484     -0.10640E-03
   0.89181     -0.10295E-03
   0.89876     -0.10037E-03
   0.90568     -0.98542E-04
   0.91254     -0.97301E-04
   0.91932     -0.96500E-04
   0.92600     -0.96032E-04
   0.93253     -0.95823E-04
   0.93893     -0.95829E-04
   0.94520     -0.96015E-04
   0.95131     -0.96357E-04
   0.95727     -0.96829E-04
   0.96305     -0.97402E-04
   0.96867     -0.98056E-04
   0.97409     -0.98761E-04
   0.97929     -0.99474E-04
   0.98423     -0.10019E-03
   0.98889     -0.10085E-03
   0.99329     -0.10139E-03
   0.99740     -0.94496E-04
    1.0000     -0.70492E-04
    1.0001       0.0000    
    1.0027       0.0000    
    1.0056       0.0000    
    1.0089       0.0000    
    1.0126       0.0000    
    1.0167       0.0000    
    1.0212       0.0000    
    1.0263       0.0000    
    1.0320       0.0000    
    1.0383       0.0000    
    1.0453       0.0000    
    1.0532       0.0000    
    1.0619       0.0000    
    1.0716       0.0000    
    1.0825       0.0000    
    1.0946       0.0000    
    1.1080       0.0000    
    1.1230       0.0000    
    1.1398       0.0000    
    1.1584       0.0000    
    1.1791       0.0000    
    1.2022       0.0000    
    1.2280       0.0000    
    1.2566       0.0000    
    1.2885       0.0000    
    1.3241       0.0000    
    1.3637       0.0000    
    1.4078       0.0000    
    1.4570       0.0000    
    1.5117       0.0000    
    1.5727       0.0000    
    1.6406       0.0000    
    1.7162       0.0000    
    1.8004       0.0000    
    1.8942       0.0000    
    1.9987       0.0000    

   0.51958E-04  0.14468E-02
   0.12968E-04  0.20705E-02
  -0.36747E-05  0.44152E-02
   0.94461E-05  0.40310E-02
   0.40619E-04  0.69215E-02
   0.95313E-04  0.69837E-02
   0.19630E-03  0.59152E-02
   0.26552E-03  0.12976E-01
   0.39313E-03  0.83486E-02
   0.54214E-03  0.13576E-01
   0.71625E-03  0.12837E-01
   0.92004E-03  0.15021E-01
   0.11545E-02  0.16970E-01
   0.14212E-02  0.17784E-01
   0.17253E-02  0.20165E-01
   0.20726E-02  0.23912E-01
   0.24656E-02  0.25299E-01
   0.29236E-02  0.22107E-01
   0.34163E-02  0.40280E-01
   0.40220E-02  0.21264E-01
   0.47047E-02  0.23267E-01
   0.54645E-02  0.17425E-01
   0.62883E-02  0.14191E-01
   0.71714E-02  0.13825E-01
   0.81091E-02  0.11550E-01
   0.91010E-02  0.96603E-02
   0.10147E-01  0.88221E-02
   0.11246E-01  0.84029E-02
   0.12399E-01  0.73078E-02
   0.13610E-01  0.64066E-02
   0.14880E-01  0.62409E-02
   0.16213E-01  0.51056E-02
   0.17613E-01  0.46082E-02
   0.19083E-01  0.45403E-02
   0.20629E-01  0.38817E-02
