#  GRUMMAN K-2 AIRFOIL                             
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   5.0000
#
#    x           cf
   0.51958E-04  0.67382E-03
   0.11783E-03  0.29187E-02
   0.21595E-03  0.33712E-02
   0.35184E-03  0.74880E-02
   0.53406E-03  0.74875E-02
   0.77928E-03  0.12755E-01
   0.11088E-02  0.13917E-01
   0.15428E-02  0.15023E-01
   0.20737E-02  0.14218E-01
   0.26829E-02  0.14973E-01
   0.33776E-02  0.12312E-01
   0.41380E-02  0.10385E-01
   0.49506E-02  0.10434E-01
   0.58109E-02  0.96432E-02
   0.67178E-02  0.97220E-02
   0.76703E-02  0.90793E-02
   0.86679E-02  0.86251E-02
   0.97117E-02  0.87441E-02
   0.10803E-01  0.84312E-02
   0.11945E-01  0.81321E-02
   0.13139E-01  0.79903E-02
   0.14387E-01  0.77661E-02
   0.15692E-01  0.80581E-02
   0.17058E-01  0.75911E-02
   0.18491E-01  0.76026E-02
   0.19998E-01  0.71056E-02
   0.21585E-01  0.62876E-02
   0.23258E-01  0.58976E-02
   0.25022E-01  0.54029E-02
   0.26881E-01  0.53262E-02
   0.28836E-01  0.54908E-02
   0.30889E-01  0.58625E-02
   0.33045E-01  0.62161E-02
   0.35314E-01  0.62901E-02
   0.37710E-01  0.57863E-02
   0.40241E-01  0.54242E-02
   0.42915E-01  0.52477E-02
   0.45741E-01  0.50584E-02
   0.48729E-01  0.47923E-02
   0.51887E-01  0.45031E-02
   0.55233E-01  0.41052E-02
   0.58788E-01  0.37512E-02
   0.62566E-01  0.32952E-02
   0.66577E-01  0.30926E-02
   0.70849E-01  0.28238E-02
   0.75402E-01  0.27232E-02
   0.80243E-01  0.26834E-02
   0.85374E-01  0.26101E-02
   0.90785E-01  0.25819E-02
   0.96466E-01  0.25271E-02
   0.10240      0.24779E-02
   0.10856      0.24289E-02
   0.11493      0.23708E-02
   0.12147      0.23135E-02
   0.12818      0.22580E-02
   0.13503      0.21981E-02
   0.14200      0.20965E-02
   0.14907      0.20353E-02
   0.15624      0.19743E-02
   0.16349      0.19359E-02
   0.17081      0.18496E-02
   0.17820      0.18102E-02
   0.18563      0.17749E-02
   0.19311      0.17088E-02
   0.20063      0.16910E-02
   0.20817      0.16479E-02
   0.21574      0.16095E-02
   0.22333      0.15967E-02
   0.23092      0.15641E-02
   0.23850      0.15399E-02
   0.24607      0.15109E-02
   0.25361      0.15109E-02
   0.26108      0.14843E-02
   0.26847      0.14518E-02
   0.27579      0.14181E-02
   0.28299      0.14256E-02
   0.29002      0.15241E-02
   0.29682      0.15727E-02
   0.30343      0.14738E-02
   0.30988      0.11938E-02
   0.31625      0.93959E-03
   0.32258      0.84025E-03
   0.32892      0.96860E-03
   0.33530      0.12240E-02
   0.34179      0.14807E-02
   0.34842      0.15768E-02
   0.35524      0.15022E-02
   0.36229      0.13691E-02
   0.36954      0.12900E-02
   0.37694      0.12671E-02
   0.38445      0.12724E-02
   0.39202      0.12776E-02
   0.39966      0.12498E-02
   0.40737      0.12477E-02
   0.41514      0.12244E-02
   0.42295      0.12142E-02
   0.43079      0.12001E-02
   0.43864      0.11945E-02
   0.44650      0.11876E-02
   0.45437      0.11837E-02
   0.46224      0.11754E-02
   0.47012      0.11682E-02
   0.47801      0.11619E-02
   0.48590      0.11532E-02
   0.49380      0.11490E-02
   0.50169      0.11416E-02
   0.50958      0.11389E-02
   0.51748      0.11309E-02
   0.52537      0.11264E-02
   0.53326      0.11263E-02
   0.54115      0.11166E-02
   0.54904      0.11164E-02
   0.55693      0.11120E-02
   0.56482      0.11065E-02
   0.57270      0.11031E-02
   0.58058      0.10992E-02
   0.58846      0.10958E-02
   0.59633      0.10907E-02
   0.60421      0.10891E-02
   0.61208      0.10927E-02
   0.61994      0.10897E-02
   0.62779      0.10908E-02
   0.63563      0.10889E-02
   0.64347      0.10881E-02
   0.65129      0.10885E-02
   0.65911      0.10895E-02
   0.66693      0.10839E-02
   0.67473      0.10897E-02
   0.68252      0.10886E-02
   0.69030      0.10906E-02
   0.69806      0.10929E-02
   0.70580      0.10967E-02
   0.71350      0.10980E-02
   0.72118      0.11039E-02
   0.72884      0.11060E-02
   0.73646      0.11054E-02
   0.74405      0.11050E-02
   0.75161      0.10927E-02
   0.75914      0.10818E-02
   0.76665      0.10616E-02
   0.77414      0.10346E-02
   0.78162      0.10056E-02
   0.78909      0.97007E-03
