#  GRUMMAN K-2 AIRFOIL                             
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  13.0000
#
#    x           cf
   0.40619E-04  0.55407E-03
   0.94461E-05  0.21093E-02
  -0.36747E-05  0.29860E-02
   0.12968E-04  0.48217E-02
   0.51958E-04  0.59021E-02
   0.11783E-03  0.81356E-02
   0.21595E-03  0.97793E-02
   0.35184E-03  0.13742E-01
   0.53406E-03  0.15088E-01
   0.77928E-03  0.19795E-01
   0.11088E-02  0.22459E-01
   0.15428E-02  0.20337E-01
   0.20737E-02  0.18957E-01
   0.26829E-02  0.18580E-01
   0.33776E-02  0.13870E-01
   0.41380E-02  0.11654E-01
   0.49506E-02  0.10652E-01
   0.58109E-02  0.10595E-01
   0.67178E-02  0.92435E-02
   0.76703E-02  0.92959E-02
   0.86679E-02  0.86318E-02
   0.97117E-02  0.89807E-02
   0.10803E-01  0.83073E-02
   0.11945E-01  0.82222E-02
   0.13139E-01  0.79878E-02
   0.14387E-01  0.78074E-02
   0.15692E-01  0.77819E-02
   0.17058E-01  0.76566E-02
   0.18491E-01  0.76335E-02
   0.19998E-01  0.69408E-02
   0.21585E-01  0.61758E-02
   0.23258E-01  0.55734E-02
   0.25022E-01  0.51726E-02
   0.26881E-01  0.49282E-02
   0.28836E-01  0.51916E-02
   0.30889E-01  0.55608E-02
   0.33045E-01  0.59342E-02
   0.35314E-01  0.61134E-02
   0.37710E-01  0.56902E-02
   0.40241E-01  0.52821E-02
   0.42915E-01  0.51204E-02
   0.45741E-01  0.48542E-02
   0.48729E-01  0.45987E-02
   0.51887E-01  0.42889E-02
   0.55233E-01  0.38121E-02
   0.58788E-01  0.34789E-02
   0.62566E-01  0.29205E-02
   0.66577E-01  0.27404E-02
   0.70849E-01  0.24329E-02
   0.75402E-01  0.23077E-02
   0.80243E-01  0.22753E-02
   0.85374E-01  0.22276E-02
   0.90785E-01  0.21803E-02
   0.96466E-01  0.21662E-02
   0.10240      0.21429E-02
   0.10856      0.21193E-02
   0.11493      0.20689E-02
   0.12147      0.20223E-02
   0.12818      0.20086E-02
   0.13503      0.19359E-02
   0.14200      0.18543E-02
   0.14907      0.17979E-02
   0.15624      0.17410E-02
   0.16349      0.16940E-02
   0.17081      0.16423E-02
   0.17820      0.15903E-02
   0.18563      0.15595E-02
   0.19311      0.15039E-02
   0.20063      0.14828E-02
   0.20817      0.14473E-02
   0.21574      0.14157E-02
   0.22333      0.14039E-02
   0.23092      0.13771E-02
   0.23850      0.13441E-02
   0.24607      0.13394E-02
   0.25361      0.13238E-02
   0.26108      0.13142E-02
   0.26847      0.12796E-02
   0.27579      0.12556E-02
   0.28299      0.12552E-02
   0.29002      0.13527E-02
   0.29682      0.13968E-02
   0.30343      0.13091E-02
   0.30988      0.10421E-02
   0.31625      0.80588E-03
   0.32258      0.71440E-03
   0.32892      0.82772E-03
   0.33530      0.10593E-02
   0.34179      0.13067E-02
   0.34842      0.13994E-02
   0.35524      0.13410E-02
   0.36229      0.12214E-02
   0.36954      0.11518E-02
   0.37694      0.11280E-02
   0.38445      0.11369E-02
   0.39202      0.11363E-02
   0.39966      0.11202E-02
   0.40737      0.11132E-02
   0.41514      0.10916E-02
   0.42295      0.10821E-02
   0.43079      0.10688E-02
   0.43864      0.10662E-02
   0.44650      0.10602E-02
   0.45437      0.10527E-02
   0.46224      0.10502E-02
   0.47012      0.10402E-02
   0.47801      0.10347E-02
   0.48590      0.10265E-02
   0.49380      0.10234E-02
   0.50169      0.10154E-02
   0.50958      0.10130E-02
   0.51748      0.10060E-02
   0.52537      0.10007E-02
   0.53326      0.99953E-03
   0.54115      0.99074E-03
   0.54904      0.99144E-03
   0.55693      0.98367E-03
   0.56482      0.98068E-03
   0.57270      0.97529E-03
   0.58058      0.97233E-03
   0.58846      0.96742E-03
   0.59633      0.96322E-03
   0.60421      0.95939E-03
   0.61208      0.96163E-03
   0.61994      0.95914E-03
   0.62779      0.95739E-03
   0.63563      0.95571E-03
   0.64347      0.95245E-03
   0.65129      0.95198E-03
   0.65911      0.94962E-03
   0.66693      0.94411E-03
   0.67473      0.94690E-03
   0.68252      0.94298E-03
   0.69030      0.94245E-03
   0.69806      0.94048E-03
   0.70580      0.94160E-03
   0.71350      0.93926E-03
   0.72118      0.93918E-03
   0.72884      0.93605E-03
   0.73646      0.92972E-03
   0.74405      0.92083E-03
   0.75161      0.90380E-03
   0.75914      0.88347E-03
