#  GRUMMAN K-2 AIRFOIL                             
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.95313E-04  0.24945E-03
   0.40619E-04  0.15219E-02
   0.94461E-05  0.28669E-02
  -0.36747E-05  0.39991E-02
   0.12968E-04  0.56830E-02
   0.51958E-04  0.68662E-02
   0.11783E-03  0.92758E-02
   0.21595E-03  0.10964E-01
   0.35184E-03  0.14790E-01
   0.53406E-03  0.16367E-01
   0.77928E-03  0.21695E-01
   0.11088E-02  0.23572E-01
   0.15428E-02  0.21449E-01
   0.20737E-02  0.19579E-01
   0.26829E-02  0.19459E-01
   0.33776E-02  0.14317E-01
   0.41380E-02  0.11581E-01
   0.49506E-02  0.10499E-01
   0.58109E-02  0.10260E-01
   0.67178E-02  0.95691E-02
   0.76703E-02  0.93000E-02
   0.86679E-02  0.86894E-02
   0.97117E-02  0.86838E-02
   0.10803E-01  0.83198E-02
   0.11945E-01  0.81130E-02
   0.13139E-01  0.79340E-02
   0.14387E-01  0.77435E-02
   0.15692E-01  0.78779E-02
   0.17058E-01  0.76575E-02
   0.18491E-01  0.75495E-02
   0.19998E-01  0.69453E-02
   0.21585E-01  0.60567E-02
   0.23258E-01  0.55482E-02
   0.25022E-01  0.50361E-02
   0.26881E-01  0.49008E-02
   0.28836E-01  0.50591E-02
   0.30889E-01  0.54912E-02
   0.33045E-01  0.59218E-02
   0.35314E-01  0.60612E-02
   0.37710E-01  0.56168E-02
   0.40241E-01  0.53040E-02
   0.42915E-01  0.50698E-02
   0.45741E-01  0.48410E-02
   0.48729E-01  0.45595E-02
   0.51887E-01  0.42158E-02
   0.55233E-01  0.37935E-02
   0.58788E-01  0.33983E-02
   0.62566E-01  0.28748E-02
   0.66577E-01  0.26587E-02
   0.70849E-01  0.23655E-02
   0.75402E-01  0.22385E-02
   0.80243E-01  0.21981E-02
   0.85374E-01  0.21454E-02
   0.90785E-01  0.21378E-02
   0.96466E-01  0.20973E-02
   0.10240      0.20849E-02
   0.10856      0.20626E-02
   0.11493      0.20220E-02
   0.12147      0.19851E-02
   0.12818      0.19510E-02
   0.13503      0.18963E-02
   0.14200      0.18183E-02
   0.14907      0.17606E-02
   0.15624      0.17119E-02
   0.16349      0.16686E-02
   0.17081      0.16054E-02
   0.17820      0.15654E-02
   0.18563      0.15323E-02
   0.19311      0.14783E-02
   0.20063      0.14598E-02
   0.20817      0.14259E-02
   0.21574      0.13913E-02
   0.22333      0.13817E-02
   0.23092      0.13563E-02
   0.23850      0.13329E-02
   0.24607      0.13137E-02
   0.25361      0.13115E-02
   0.26108      0.12950E-02
   0.26847      0.12657E-02
   0.27579      0.12392E-02
   0.28299      0.12458E-02
   0.29002      0.13390E-02
   0.29682      0.13873E-02
   0.30343      0.12958E-02
   0.30988      0.10335E-02
   0.31625      0.79830E-03
   0.32258      0.70625E-03
   0.32892      0.81812E-03
   0.33530      0.10512E-02
   0.34179      0.12960E-02
   0.34842      0.13932E-02
   0.35524      0.13342E-02
   0.36229      0.12175E-02
   0.36954      0.11478E-02
   0.37694      0.11283E-02
   0.38445      0.11333E-02
   0.39202      0.11386E-02
   0.39966      0.11179E-02
   0.40737      0.11138E-02
   0.41514      0.10938E-02
   0.42295      0.10850E-02
   0.43079      0.10729E-02
   0.43864      0.10691E-02
   0.44650      0.10632E-02
   0.45437      0.10601E-02
   0.46224      0.10554E-02
   0.47012      0.10482E-02
   0.47801      0.10424E-02
   0.48590      0.10358E-02
   0.49380      0.10325E-02
   0.50169      0.10259E-02
   0.50958      0.10243E-02
   0.51748      0.10186E-02
   0.52537      0.10140E-02
   0.53326      0.10146E-02
   0.54115      0.10067E-02
   0.54904      0.10071E-02
   0.55693      0.10028E-02
   0.56482      0.99890E-03
   0.57270      0.99596E-03
   0.58058      0.99423E-03
   0.58846      0.99110E-03
   0.59633      0.98778E-03
   0.60421      0.98597E-03
   0.61208      0.98945E-03
   0.61994      0.98859E-03
   0.62779      0.98919E-03
   0.63563      0.98889E-03
   0.64347      0.98821E-03
   0.65129      0.98988E-03
   0.65911      0.98989E-03
   0.66693      0.98682E-03
   0.67473      0.99262E-03
   0.68252      0.99128E-03
   0.69030      0.99486E-03
   0.69806      0.99611E-03
   0.70580      0.10015E-02
   0.71350      0.10034E-02
   0.72118      0.10084E-02
   0.72884      0.10108E-02
   0.73646      0.10107E-02
   0.74405      0.10087E-02
   0.75161      0.99890E-03
   0.75914      0.98761E-03
   0.76665      0.96856E-03
   0.77414      0.94163E-03
   0.78162      0.91301E-03
   0.78909      0.87587E-03
   0.79655      0.83261E-03
   0.80402      0.78541E-03
   0.81149      0.73720E-03
   0.81896      0.68355E-03
   0.82645      0.62865E-03
   0.83396      0.57450E-03
   0.84146      0.53920E-03
   0.84891      0.50647E-03
   0.85628      0.47415E-03
   0.86355      0.44012E-03
   0.87073      0.39694E-03
   0.87782      0.34483E-03
   0.88484      0.28664E-03
   0.89181      0.21833E-03
   0.89876      0.14810E-03
   0.90568      0.83741E-04
   0.91254      0.27026E-04
   0.91932     -0.17388E-04
   0.92600     -0.51070E-04
   0.93253     -0.75520E-04
   0.93893     -0.91964E-04
   0.94520     -0.10145E-03
   0.95131     -0.10587E-03
   0.95727     -0.10725E-03
   0.96305     -0.87435E-04
   0.96867     -0.41296E-04
   0.97409      0.22348E-04
   0.97929      0.84846E-04
   0.98423      0.14759E-03
   0.98889      0.19856E-03
   0.99329      0.23732E-03
   0.99740      0.24118E-03
    1.0000      0.21506E-03
    1.0001       0.0000    
    1.0027       0.0000    
    1.0056       0.0000    
    1.0089       0.0000    
    1.0126       0.0000    
    1.0167       0.0000    
    1.0212       0.0000    
    1.0263       0.0000    
    1.0320       0.0000    
    1.0383       0.0000    
    1.0453       0.0000    
    1.0532       0.0000    
    1.0619       0.0000    
    1.0717       0.0000    
    1.0825       0.0000    
    1.0946       0.0000    
    1.1081       0.0000    
    1.1231       0.0000    
    1.1398       0.0000    
    1.1584       0.0000    
    1.1792       0.0000    
    1.2023       0.0000    
    1.2280       0.0000    
    1.2567       0.0000    
    1.2887       0.0000    
    1.3242       0.0000    
    1.3639       0.0000    
    1.4080       0.0000    
    1.4572       0.0000    
    1.5119       0.0000    
    1.5729       0.0000    
    1.6408       0.0000    
    1.7165       0.0000    
    1.8007       0.0000    
    1.8946       0.0000    
    1.9991       0.0000    

   0.19630E-03  0.86172E-03
   0.26552E-03  0.19197E-02
   0.39313E-03  0.36858E-02
   0.54214E-03  0.43468E-02
   0.71625E-03  0.56641E-02
   0.92004E-03  0.77196E-02
   0.11545E-02  0.79798E-02
   0.14212E-02  0.10521E-01
   0.17253E-02  0.12052E-01
   0.20726E-02  0.14336E-01
   0.24656E-02  0.16253E-01
   0.29236E-02  0.14092E-01
   0.34163E-02  0.27757E-01
   0.40220E-02  0.15162E-01
   0.47047E-02  0.18328E-01
   0.54645E-02  0.14257E-01
   0.62883E-02  0.14126E-01
   0.71714E-02  0.12684E-01
   0.81091E-02  0.11263E-01
   0.91010E-02  0.10433E-01
   0.10147E-01  0.95273E-02
   0.11246E-01  0.92526E-02
   0.12399E-01  0.82854E-02
   0.13610E-01  0.79760E-02
   0.14880E-01  0.73933E-02
   0.16213E-01  0.67556E-02
   0.17613E-01  0.63046E-02
   0.19083E-01  0.60011E-02
   0.20629E-01  0.57727E-02
   0.22257E-01  0.53114E-02
   0.23973E-01  0.51097E-02
   0.25786E-01  0.48878E-02
   0.27703E-01  0.47374E-02
   0.29734E-01  0.43940E-02
   0.31891E-01  0.43913E-02
   0.34186E-01  0.41969E-02
   0.36631E-01  0.40299E-02
   0.39242E-01  0.38845E-02
   0.42034E-01  0.37020E-02
   0.45022E-01  0.35650E-02
   0.48223E-01  0.35309E-02
   0.51654E-01  0.34575E-02
   0.55327E-01  0.33942E-02
   0.59253E-01  0.33022E-02
   0.63440E-01  0.31786E-02
   0.67892E-01  0.31001E-02
   0.72616E-01  0.30627E-02
   0.77614E-01  0.28989E-02
   0.82884E-01  0.28759E-02
