#  GRUMMAN K-2 AIRFOIL                             
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =  13.0000
#
#    x           cf
   0.51958E-04  0.12692E-02
   0.11783E-03  0.81172E-02
   0.21595E-03  0.98621E-02
   0.35184E-03  0.21176E-01
   0.53406E-03  0.23122E-01
   0.77928E-03  0.36678E-01
   0.11088E-02  0.41636E-01
   0.15428E-02  0.46245E-01
   0.20737E-02  0.44018E-01
   0.26829E-02  0.44526E-01
   0.33776E-02  0.39301E-01
   0.41380E-02  0.33194E-01
   0.49506E-02  0.34047E-01
   0.58109E-02  0.30140E-01
   0.67178E-02  0.31236E-01
   0.76703E-02  0.28574E-01
   0.86679E-02  0.27250E-01
   0.97117E-02  0.26867E-01
   0.10803E-01  0.26689E-01
   0.11945E-01  0.25351E-01
   0.13139E-01  0.24959E-01
   0.14387E-01  0.24616E-01
   0.15692E-01  0.24673E-01
   0.17058E-01  0.23790E-01
   0.18491E-01  0.22997E-01
   0.19998E-01  0.22366E-01
   0.21585E-01  0.20579E-01
   0.23258E-01  0.19495E-01
   0.25022E-01  0.18138E-01
   0.26881E-01  0.17445E-01
   0.28836E-01  0.17427E-01
   0.30889E-01  0.18003E-01
   0.33045E-01  0.18449E-01
   0.35314E-01  0.18889E-01
   0.37710E-01  0.17992E-01
   0.40241E-01  0.17073E-01
   0.42915E-01  0.16545E-01
   0.45741E-01  0.15887E-01
   0.48729E-01  0.15015E-01
   0.51887E-01  0.14248E-01
   0.55233E-01  0.13236E-01
   0.58788E-01  0.12145E-01
   0.62566E-01  0.11107E-01
   0.66577E-01  0.10243E-01
   0.70849E-01  0.94310E-02
   0.75402E-01  0.90389E-02
   0.80243E-01  0.86898E-02
   0.85374E-01  0.85110E-02
   0.90785E-01  0.81695E-02
   0.96466E-01  0.80067E-02
   0.10240      0.78578E-02
   0.10856      0.76422E-02
   0.11493      0.74573E-02
   0.12147      0.72831E-02
   0.12818      0.71393E-02
   0.13503      0.69500E-02
   0.14200      0.66596E-02
   0.14907      0.65229E-02
   0.15624      0.62874E-02
   0.16349      0.61882E-02
   0.17081      0.59223E-02
   0.17820      0.58072E-02
   0.18563      0.56803E-02
   0.19311      0.54864E-02
   0.20063      0.54029E-02
   0.20817      0.52952E-02
   0.21574      0.51501E-02
   0.22333      0.50866E-02
   0.23092      0.50028E-02
   0.23850      0.49225E-02
   0.24607      0.48198E-02
   0.25361      0.48008E-02
   0.26108      0.47226E-02
   0.26847      0.46272E-02
   0.27579      0.45662E-02
   0.28299      0.45499E-02
   0.29002      0.46598E-02
   0.29682      0.46574E-02
   0.30343      0.44906E-02
   0.30988      0.40705E-02
   0.31625      0.36593E-02
   0.32258      0.34895E-02
   0.32892      0.36383E-02
   0.33530      0.39893E-02
   0.34179      0.43480E-02
   0.34842      0.44832E-02
   0.35524      0.44231E-02
   0.36229      0.42459E-02
   0.36954      0.41115E-02
   0.37694      0.40708E-02
   0.38445      0.40569E-02
   0.39202      0.40369E-02
   0.39966      0.39810E-02
   0.40737      0.39593E-02
   0.41514      0.39140E-02
   0.42295      0.38763E-02
   0.43079      0.38429E-02
   0.43864      0.38223E-02
   0.44650      0.37880E-02
   0.45437      0.37743E-02
   0.46224      0.37442E-02
   0.47012      0.37246E-02
   0.47801      0.37001E-02
   0.48590      0.36754E-02
   0.49380      0.36588E-02
   0.50169      0.36400E-02
   0.50958      0.36216E-02
   0.51748      0.36044E-02
   0.52537      0.35845E-02
   0.53326      0.35766E-02
   0.54115      0.35538E-02
   0.54904      0.35454E-02
   0.55693      0.35303E-02
   0.56482      0.35138E-02
   0.57270      0.35029E-02
