#  GRUMMAN K-2 AIRFOIL                             
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   5.0000
#
#    x           cf
   0.53406E-03  0.28964E-02
   0.77928E-03  0.11534E-01
   0.11088E-02  0.16922E-01
   0.15428E-02  0.25705E-01
   0.20737E-02  0.26316E-01
   0.26829E-02  0.29947E-01
   0.33776E-02  0.29281E-01
   0.41380E-02  0.25721E-01
   0.49506E-02  0.28217E-01
   0.58109E-02  0.25629E-01
   0.67178E-02  0.27053E-01
   0.76703E-02  0.24868E-01
   0.86679E-02  0.24684E-01
   0.97117E-02  0.24270E-01
   0.10803E-01  0.24511E-01
   0.11945E-01  0.23541E-01
   0.13139E-01  0.23021E-01
   0.14387E-01  0.23028E-01
   0.15692E-01  0.23156E-01
   0.17058E-01  0.22495E-01
   0.18491E-01  0.21766E-01
   0.19998E-01  0.21370E-01
   0.21585E-01  0.19767E-01
   0.23258E-01  0.19061E-01
   0.25022E-01  0.17773E-01
   0.26881E-01  0.17180E-01
   0.28836E-01  0.17375E-01
   0.30889E-01  0.17904E-01
   0.33045E-01  0.18286E-01
   0.35314E-01  0.18637E-01
   0.37710E-01  0.17679E-01
   0.40241E-01  0.16755E-01
   0.42915E-01  0.16372E-01
   0.45741E-01  0.15736E-01
   0.48729E-01  0.15035E-01
   0.51887E-01  0.14248E-01
   0.55233E-01  0.13421E-01
   0.58788E-01  0.12420E-01
   0.62566E-01  0.11464E-01
   0.66577E-01  0.10699E-01
   0.70849E-01  0.99370E-02
   0.75402E-01  0.95865E-02
   0.80243E-01  0.92666E-02
   0.85374E-01  0.90604E-02
   0.90785E-01  0.87431E-02
   0.96466E-01  0.85415E-02
   0.10240      0.83557E-02
   0.10856      0.81109E-02
   0.11493      0.79086E-02
   0.12147      0.76982E-02
   0.12818      0.75181E-02
   0.13503      0.73097E-02
   0.14200      0.69834E-02
   0.14907      0.68410E-02
   0.15624      0.65752E-02
   0.16349      0.64791E-02
   0.17081      0.61950E-02
   0.17820      0.60616E-02
   0.18563      0.59305E-02
   0.19311      0.57223E-02
   0.20063      0.56227E-02
   0.20817      0.55057E-02
   0.21574      0.53587E-02
   0.22333      0.52757E-02
   0.23092      0.51830E-02
   0.23850      0.50895E-02
   0.24607      0.49811E-02
   0.25361      0.49465E-02
   0.26108      0.48588E-02
   0.26847      0.47558E-02
   0.27579      0.46806E-02
   0.28299      0.46552E-02
   0.29002      0.47603E-02
   0.29682      0.47502E-02
   0.30343      0.45687E-02
   0.30988      0.41395E-02
   0.31625      0.37192E-02
   0.32258      0.35433E-02
   0.32892      0.36914E-02
   0.33530      0.40418E-02
   0.34179      0.43864E-02
   0.34842      0.45182E-02
   0.35524      0.44394E-02
   0.36229      0.42491E-02
   0.36954      0.41072E-02
   0.37694      0.40505E-02
   0.38445      0.40276E-02
   0.39202      0.39963E-02
   0.39966      0.39313E-02
   0.40737      0.38986E-02
   0.41514      0.38433E-02
   0.42295      0.37947E-02
   0.43079      0.37503E-02
   0.43864      0.37173E-02
   0.44650      0.36755E-02
   0.45437      0.36475E-02
   0.46224      0.36065E-02
   0.47012      0.35768E-02
   0.47801      0.35399E-02
   0.48590      0.35051E-02
   0.49380      0.34734E-02
   0.50169      0.34435E-02
   0.50958      0.34107E-02
   0.51748      0.33785E-02
   0.52537      0.33477E-02
   0.53326      0.33230E-02
   0.54115      0.32862E-02
   0.54904      0.32628E-02
   0.55693      0.32311E-02
