#  GRUMMAN K-2 AIRFOIL                             
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   5.0000
#
#    x           cf
   0.11783E-03  0.31531E-02
   0.21595E-03  0.88375E-02
   0.35184E-03  0.15489E-01
   0.53406E-03  0.21397E-01
   0.77928E-03  0.30320E-01
   0.11088E-02  0.38746E-01
   0.15428E-02  0.42141E-01
   0.20737E-02  0.41675E-01
   0.26829E-02  0.41912E-01
   0.33776E-02  0.36245E-01
   0.41380E-02  0.34623E-01
   0.49506E-02  0.31586E-01
   0.58109E-02  0.31090E-01
   0.67178E-02  0.29239E-01
   0.76703E-02  0.27820E-01
   0.86679E-02  0.27060E-01
   0.97117E-02  0.26930E-01
   0.10803E-01  0.26111E-01
   0.11945E-01  0.25170E-01
   0.13139E-01  0.24855E-01
   0.14387E-01  0.24197E-01
   0.15692E-01  0.23864E-01
   0.17058E-01  0.23365E-01
   0.18491E-01  0.23024E-01
   0.19998E-01  0.22049E-01
   0.21585E-01  0.20511E-01
   0.23258E-01  0.18891E-01
   0.25022E-01  0.18225E-01
   0.26881E-01  0.17398E-01
   0.28836E-01  0.17461E-01
   0.30889E-01  0.17875E-01
   0.33045E-01  0.18244E-01
   0.35314E-01  0.18448E-01
   0.37710E-01  0.17757E-01
   0.40241E-01  0.16961E-01
   0.42915E-01  0.16238E-01
   0.45741E-01  0.15739E-01
   0.48729E-01  0.14918E-01
   0.51887E-01  0.14120E-01
   0.55233E-01  0.12942E-01
   0.58788E-01  0.12075E-01
   0.62566E-01  0.10902E-01
   0.66577E-01  0.10168E-01
   0.70849E-01  0.94084E-02
   0.75402E-01  0.89076E-02
   0.80243E-01  0.86374E-02
   0.85374E-01  0.83418E-02
   0.90785E-01  0.80516E-02
   0.96466E-01  0.78702E-02
   0.10240      0.76984E-02
   0.10856      0.75239E-02
   0.11493      0.73086E-02
   0.12147      0.71047E-02
   0.12818      0.69923E-02
   0.13503      0.67452E-02
   0.14200      0.65070E-02
   0.14907      0.63070E-02
   0.15624      0.61107E-02
   0.16349      0.59352E-02
   0.17081      0.57514E-02
   0.17820      0.55884E-02
   0.18563      0.54443E-02
   0.19311      0.52762E-02
   0.20063      0.51693E-02
   0.20817      0.50460E-02
   0.21574      0.49206E-02
   0.22333      0.48438E-02
   0.23092      0.47415E-02
   0.23850      0.46304E-02
   0.24607      0.45786E-02
   0.25361      0.45087E-02
