#  GRUMMAN K-2 AIRFOIL                             
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =  13.0000
#
#    x           cf
   0.26552E-03  0.38589E-02
   0.19630E-03  0.39301E-02
   0.95313E-04  0.10943E-01
   0.40619E-04  0.12627E-01
   0.94461E-05  0.18495E-01
  -0.36747E-05  0.23014E-01
   0.12968E-04  0.25842E-01
   0.51958E-04  0.32244E-01
   0.11783E-03  0.40596E-01
   0.21595E-03  0.44879E-01
   0.35184E-03  0.55381E-01
   0.53406E-03  0.67634E-01
   0.77928E-03  0.77885E-01
   0.11088E-02  0.85715E-01
   0.15428E-02  0.79835E-01
   0.20737E-02  0.69416E-01
   0.26829E-02  0.63431E-01
   0.33776E-02  0.49892E-01
   0.41380E-02  0.41657E-01
   0.49506E-02  0.36084E-01
   0.58109E-02  0.31773E-01
   0.67178E-02  0.30483E-01
   0.76703E-02  0.28258E-01
   0.86679E-02  0.27042E-01
   0.97117E-02  0.25772E-01
   0.10803E-01  0.25315E-01
   0.11945E-01  0.24172E-01
   0.13139E-01  0.23605E-01
   0.14387E-01  0.22933E-01
   0.15692E-01  0.22898E-01
   0.17058E-01  0.22294E-01
   0.18491E-01  0.21256E-01
   0.19998E-01  0.20707E-01
   0.21585E-01  0.19081E-01
   0.23258E-01  0.17181E-01
   0.25022E-01  0.16302E-01
   0.26881E-01  0.15450E-01
   0.28836E-01  0.15212E-01
   0.30889E-01  0.15784E-01
   0.33045E-01  0.16215E-01
   0.35314E-01  0.16425E-01
   0.37710E-01  0.15813E-01
   0.40241E-01  0.15369E-01
   0.42915E-01  0.14492E-01
   0.45741E-01  0.14089E-01
   0.48729E-01  0.13235E-01
   0.51887E-01  0.12246E-01
   0.55233E-01  0.11149E-01
   0.58788E-01  0.10102E-01
   0.62566E-01  0.88811E-02
   0.66577E-01  0.79309E-02
   0.70849E-01  0.71592E-02
   0.75402E-01  0.65884E-02
   0.80243E-01  0.62612E-02
   0.85374E-01  0.59670E-02
   0.90785E-01  0.57051E-02
