#  NACA 0012                                       
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  13.0000
#
#    x           cf
   0.42861E-03  0.65700E-03
   0.64861E-03  0.23115E-02
   0.91648E-03  0.35435E-02
   0.12327E-02  0.44651E-02
   0.15977E-02  0.61097E-02
   0.20115E-02  0.63426E-02
   0.24744E-02  0.79128E-02
   0.29862E-02  0.74207E-02
   0.35470E-02  0.90790E-02
   0.41570E-02  0.86572E-02
   0.48164E-02  0.91678E-02
   0.55256E-02  0.95646E-02
   0.62852E-02  0.95202E-02
   0.70962E-02  0.95210E-02
   0.79597E-02  0.92751E-02
   0.88769E-02  0.98801E-02
   0.98498E-02  0.87878E-02
   0.10880E-01  0.96602E-02
   0.11971E-01  0.87922E-02
   0.13124E-01  0.86791E-02
   0.14343E-01  0.86236E-02
   0.15632E-01  0.85290E-02
   0.16994E-01  0.80898E-02
   0.18435E-01  0.77625E-02
   0.19959E-01  0.78338E-02
   0.21572E-01  0.74736E-02
   0.23281E-01  0.73336E-02
   0.25092E-01  0.67772E-02
   0.27014E-01  0.69022E-02
   0.29054E-01  0.65106E-02
   0.31221E-01  0.63623E-02
   0.33526E-01  0.60911E-02
   0.35978E-01  0.59073E-02
   0.38590E-01  0.56358E-02
   0.41370E-01  0.55054E-02
   0.44332E-01  0.52980E-02
   0.47486E-01  0.50408E-02
   0.50842E-01  0.49489E-02
   0.54409E-01  0.46660E-02
   0.58194E-01  0.45403E-02
   0.62203E-01  0.43374E-02
   0.66437E-01  0.41615E-02
   0.70896E-01  0.40589E-02
   0.75575E-01  0.38262E-02
   0.80467E-01  0.37457E-02
   0.85561E-01  0.35583E-02
   0.90846E-01  0.34635E-02
   0.96306E-01  0.33042E-02
   0.10193      0.32059E-02
   0.10770      0.30506E-02
   0.11360      0.29676E-02
   0.11961      0.28764E-02
   0.12574      0.27537E-02
   0.13195      0.26778E-02
   0.13825      0.25849E-02
   0.14463      0.25089E-02
   0.15107      0.24171E-02
   0.15757      0.23487E-02
   0.16412      0.22713E-02
   0.17072      0.21970E-02
   0.17737      0.21424E-02
   0.18405      0.20738E-02
   0.19077      0.20133E-02
   0.19753      0.19644E-02
   0.20431      0.18913E-02
   0.21113      0.18426E-02
   0.21797      0.18022E-02
   0.22484      0.17366E-02
   0.23173      0.16988E-02
   0.23864      0.16470E-02
   0.24557      0.16117E-02
   0.25252      0.15651E-02
   0.25949      0.15203E-02
   0.26648      0.14818E-02
   0.27348      0.14390E-02
   0.28050      0.14041E-02
   0.28753      0.13691E-02
   0.29457      0.13282E-02
   0.30163      0.13014E-02
   0.30871      0.12628E-02
   0.31579      0.12274E-02
   0.32288      0.12016E-02
   0.32999      0.11716E-02
   0.33711      0.11388E-02
   0.34423      0.11085E-02
   0.35137      0.10812E-02
   0.35851      0.10581E-02
   0.36567      0.10254E-02
   0.37283      0.10017E-02
   0.38000      0.97689E-03
   0.38718      0.95023E-03
   0.39437      0.92319E-03
   0.40156      0.90105E-03
   0.40876      0.87905E-03
   0.41596      0.85637E-03
   0.42318      0.83320E-03
   0.43040      0.81136E-03
   0.43762      0.78995E-03
   0.44485      0.76837E-03
   0.45209      0.74747E-03
   0.45933      0.72637E-03
   0.46657      0.71038E-03
   0.47382      0.68753E-03
   0.48108      0.67008E-03
   0.48834      0.64910E-03
   0.49560      0.63100E-03
   0.50287      0.61474E-03
   0.51014      0.59768E-03
   0.51742      0.57757E-03
   0.52470      0.56049E-03
   0.53198      0.54313E-03
   0.53926      0.52675E-03
   0.54655      0.50943E-03
   0.55384      0.49136E-03
   0.56114      0.47628E-03
   0.56844      0.45724E-03
   0.57574      0.44218E-03
   0.58304      0.42570E-03
   0.59034      0.40959E-03
   0.59765      0.39374E-03
   0.60496      0.37854E-03
   0.61227      0.36055E-03
   0.61959      0.34683E-03
   0.62690      0.32807E-03
   0.63422      0.31319E-03
   0.64153      0.29715E-03
   0.64885      0.28086E-03
   0.65617      0.26590E-03
   0.66349      0.24828E-03
   0.67082      0.23191E-03
   0.67814      0.21589E-03
   0.68546      0.19922E-03
   0.69279      0.18253E-03
   0.70011      0.16645E-03
   0.70744      0.15197E-03
   0.71477      0.13530E-03
   0.72209      0.11917E-03
   0.72942      0.10328E-03
   0.73674      0.88797E-04
   0.74407      0.74540E-04
   0.75140      0.61144E-04
   0.75872      0.47041E-04
   0.76605      0.34313E-04
   0.77337      0.21937E-04
