#  NACA 0012                                       
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.42861E-03  0.61836E-03
   0.64861E-03  0.22671E-02
   0.91648E-03  0.35179E-02
   0.12327E-02  0.44482E-02
   0.15977E-02  0.60175E-02
   0.20115E-02  0.63901E-02
   0.24744E-02  0.78212E-02
   0.29862E-02  0.74032E-02
   0.35470E-02  0.90873E-02
   0.41570E-02  0.86488E-02
   0.48164E-02  0.91269E-02
   0.55256E-02  0.95278E-02
   0.62852E-02  0.95206E-02
   0.70962E-02  0.95100E-02
   0.79597E-02  0.92626E-02
   0.88769E-02  0.98447E-02
   0.98498E-02  0.88171E-02
   0.10880E-01  0.96104E-02
   0.11971E-01  0.88000E-02
   0.13124E-01  0.87018E-02
   0.14343E-01  0.85973E-02
   0.15632E-01  0.85057E-02
   0.16994E-01  0.80902E-02
   0.18435E-01  0.77762E-02
   0.19959E-01  0.78252E-02
   0.21572E-01  0.74818E-02
   0.23281E-01  0.73031E-02
   0.25092E-01  0.67863E-02
   0.27014E-01  0.69047E-02
   0.29054E-01  0.65036E-02
   0.31221E-01  0.63637E-02
   0.33526E-01  0.60866E-02
   0.35978E-01  0.59165E-02
   0.38590E-01  0.56288E-02
   0.41370E-01  0.55076E-02
   0.44332E-01  0.52923E-02
   0.47486E-01  0.50471E-02
   0.50842E-01  0.49428E-02
   0.54409E-01  0.46706E-02
   0.58194E-01  0.45413E-02
   0.62203E-01  0.43352E-02
   0.66437E-01  0.41646E-02
   0.70896E-01  0.40600E-02
   0.75575E-01  0.38261E-02
   0.80467E-01  0.37450E-02
   0.85561E-01  0.35609E-02
   0.90846E-01  0.34635E-02
   0.96306E-01  0.33055E-02
   0.10193      0.32039E-02
   0.10770      0.30529E-02
   0.11360      0.29692E-02
   0.11961      0.28767E-02
   0.12574      0.27577E-02
   0.13195      0.26770E-02
   0.13825      0.25858E-02
   0.14463      0.25094E-02
   0.15107      0.24181E-02
   0.15757      0.23501E-02
   0.16412      0.22713E-02
   0.17072      0.21992E-02
   0.17737      0.21427E-02
   0.18405      0.20756E-02
   0.19077      0.20149E-02
   0.19753      0.19647E-02
   0.20431      0.18925E-02
   0.21113      0.18445E-02
   0.21797      0.18020E-02
   0.22484      0.17386E-02
   0.23173      0.17001E-02
   0.23864      0.16487E-02
   0.24557      0.16128E-02
   0.25252      0.15658E-02
   0.25949      0.15219E-02
   0.26648      0.14837E-02
   0.27348      0.14407E-02
   0.28050      0.14051E-02
   0.28753      0.13707E-02
   0.29457      0.13299E-02
   0.30163      0.13031E-02
   0.30871      0.12648E-02
   0.31579      0.12298E-02
   0.32288      0.12032E-02
   0.32999      0.11735E-02
   0.33711      0.11411E-02
   0.34423      0.11096E-02
   0.35137      0.10840E-02
   0.35851      0.10599E-02
   0.36567      0.10276E-02
   0.37283      0.10043E-02
   0.38000      0.97971E-03
   0.38718      0.95271E-03
   0.39437      0.92606E-03
   0.40156      0.90406E-03
   0.40876      0.88208E-03
   0.41596      0.85946E-03
   0.42318      0.83668E-03
