#  NACA 0012                                       
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  13.0000
#
#    x           cf
   0.49527E-05  0.77232E-03
   0.45242E-04  0.21498E-02
   0.12819E-03  0.36369E-02
   0.25555E-03  0.48717E-02
   0.42861E-03  0.66265E-02
   0.64861E-03  0.72983E-02
   0.91648E-03  0.87840E-02
   0.12327E-02  0.92776E-02
   0.15977E-02  0.10561E-01
   0.20115E-02  0.10386E-01
   0.24744E-02  0.11788E-01
   0.29862E-02  0.11605E-01
   0.35470E-02  0.11772E-01
   0.41570E-02  0.11758E-01
   0.48164E-02  0.11978E-01
   0.55256E-02  0.11325E-01
   0.62852E-02  0.12444E-01
   0.70962E-02  0.11085E-01
   0.79597E-02  0.11027E-01
   0.88769E-02  0.11091E-01
   0.98498E-02  0.10248E-01
   0.10880E-01  0.10825E-01
   0.11971E-01  0.97396E-02
   0.13124E-01  0.96854E-02
   0.14343E-01  0.92220E-02
   0.15632E-01  0.91068E-02
   0.16994E-01  0.86882E-02
   0.18435E-01  0.82790E-02
   0.19959E-01  0.81786E-02
   0.21572E-01  0.76903E-02
   0.23281E-01  0.75959E-02
   0.25092E-01  0.69456E-02
   0.27014E-01  0.71104E-02
   0.29054E-01  0.65509E-02
   0.31221E-01  0.64250E-02
   0.33526E-01  0.60662E-02
   0.35978E-01  0.59061E-02
   0.38590E-01  0.56391E-02
   0.41370E-01  0.53967E-02
   0.44332E-01  0.51456E-02
   0.47486E-01  0.49859E-02
   0.50842E-01  0.47303E-02
   0.54409E-01  0.45915E-02
   0.58194E-01  0.43805E-02
   0.62203E-01  0.41574E-02
   0.66437E-01  0.40205E-02
   0.70896E-01  0.38282E-02
   0.75575E-01  0.36755E-02
   0.80467E-01  0.35232E-02
   0.85561E-01  0.33896E-02
   0.90846E-01  0.32453E-02
   0.96306E-01  0.31334E-02
   0.10193      0.29867E-02
   0.10770      0.28795E-02
   0.11360      0.27642E-02
   0.11961      0.26723E-02
   0.12574      0.25750E-02
   0.13195      0.24660E-02
   0.13825      0.23819E-02
   0.14463      0.23258E-02
   0.15107      0.22107E-02
   0.15757      0.21538E-02
   0.16412      0.20769E-02
   0.17072      0.20198E-02
   0.17737      0.19374E-02
   0.18405      0.18897E-02
   0.19077      0.18154E-02
   0.19753      0.17828E-02
   0.20431      0.17081E-02
   0.21113      0.16639E-02
   0.21797      0.16032E-02
   0.22484      0.15597E-02
