#  NACA 0012                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   5.0000
#
#    x           cf
   0.91656E-03  0.14265E-03
   0.64864E-03  0.14140E-02
   0.42864E-03  0.30736E-02
   0.25560E-03  0.50819E-02
   0.12821E-03  0.58403E-02
   0.45260E-04  0.76100E-02
   0.49557E-05  0.97239E-02
   0.49527E-05  0.10294E-01
   0.45242E-04  0.11913E-01
   0.12819E-03  0.13250E-01
   0.25555E-03  0.14314E-01
   0.42861E-03  0.15162E-01
   0.64861E-03  0.15982E-01
   0.91648E-03  0.16331E-01
   0.12327E-02  0.17641E-01
   0.15977E-02  0.17103E-01
   0.20115E-02  0.16409E-01
   0.24744E-02  0.18007E-01
   0.29862E-02  0.16121E-01
   0.35470E-02  0.16045E-01
   0.41570E-02  0.16377E-01
   0.48164E-02  0.15849E-01
   0.55256E-02  0.14315E-01
   0.62852E-02  0.14732E-01
   0.70962E-02  0.13371E-01
   0.79597E-02  0.13326E-01
   0.88769E-02  0.12651E-01
   0.98498E-02  0.11927E-01
   0.10880E-01  0.11382E-01
   0.11971E-01  0.10872E-01
   0.13124E-01  0.10451E-01
   0.14343E-01  0.97062E-02
   0.15632E-01  0.93935E-02
   0.16994E-01  0.90105E-02
   0.18435E-01  0.83583E-02
   0.19959E-01  0.80802E-02
   0.21572E-01  0.77771E-02
   0.23281E-01  0.72416E-02
   0.25092E-01  0.69327E-02
   0.27014E-01  0.65821E-02
   0.29054E-01  0.62393E-02
   0.31221E-01  0.59516E-02
   0.33526E-01  0.56299E-02
   0.35978E-01  0.53976E-02
   0.38590E-01  0.51278E-02
   0.41370E-01  0.48779E-02
   0.44332E-01  0.46070E-02
   0.47486E-01  0.43746E-02
   0.50842E-01  0.41833E-02
   0.54409E-01  0.39879E-02
   0.58194E-01  0.37899E-02
   0.62203E-01  0.35829E-02
   0.66437E-01  0.34151E-02
   0.70896E-01  0.32446E-02
   0.75575E-01  0.31190E-02
   0.80467E-01  0.29629E-02
   0.85561E-01  0.28114E-02
   0.90846E-01  0.26859E-02
   0.96306E-01  0.25872E-02
   0.10193      0.24356E-02
   0.10770      0.23649E-02
   0.11360      0.22304E-02
   0.11961      0.21492E-02
   0.12574      0.20630E-02
   0.13195      0.19732E-02
   0.13825      0.18983E-02
   0.14463      0.18217E-02
   0.15107      0.17424E-02
   0.15757      0.16676E-02
   0.16412      0.16218E-02
   0.17072      0.15500E-02
   0.17737      0.14864E-02
   0.18405      0.14389E-02
   0.19077      0.13824E-02
   0.19753      0.13353E-02
   0.20431      0.12790E-02
   0.21113      0.12356E-02
   0.21797      0.11832E-02
   0.22484      0.11433E-02
   0.23173      0.11009E-02
   0.23864      0.10647E-02
   0.24557      0.10293E-02
   0.25252      0.98863E-03
   0.25949      0.95717E-03
   0.26648      0.92568E-03
   0.27348      0.89395E-03
   0.28050      0.86287E-03
   0.28753      0.84906E-03
   0.29457      0.81999E-03
   0.30163      0.81152E-03
   0.30871      0.79876E-03
   0.31579      0.79687E-03
   0.32288      0.80590E-03
   0.32999      0.83920E-03
   0.33711      0.90765E-03
   0.34423      0.12060E-02
   0.35137      0.16681E-02
   0.35851      0.23019E-02
   0.36567      0.31605E-02
   0.37283      0.39445E-02
   0.38000      0.45833E-02
