#  NACA 0012                                       
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   5.0000
#
#    x           cf
   0.64861E-03  0.39051E-02
   0.91648E-03  0.78122E-02
   0.12327E-02  0.11809E-01
   0.15977E-02  0.15652E-01
   0.20115E-02  0.17919E-01
   0.24744E-02  0.22101E-01
   0.29862E-02  0.21968E-01
   0.35470E-02  0.25644E-01
   0.41570E-02  0.25766E-01
   0.48164E-02  0.27443E-01
   0.55256E-02  0.28008E-01
   0.62852E-02  0.28849E-01
   0.70962E-02  0.28244E-01
   0.79597E-02  0.28939E-01
   0.88769E-02  0.28838E-01
   0.98498E-02  0.28255E-01
   0.10880E-01  0.28218E-01
   0.11971E-01  0.27655E-01
   0.13124E-01  0.27035E-01
   0.14343E-01  0.26409E-01
   0.15632E-01  0.26186E-01
   0.16994E-01  0.25190E-01
   0.18435E-01  0.24636E-01
   0.19959E-01  0.24079E-01
   0.21572E-01  0.23336E-01
   0.23281E-01  0.22698E-01
   0.25092E-01  0.21693E-01
   0.27014E-01  0.21421E-01
   0.29054E-01  0.20399E-01
   0.31221E-01  0.19956E-01
   0.33526E-01  0.19196E-01
   0.35978E-01  0.18644E-01
   0.38590E-01  0.17932E-01
   0.41370E-01  0.17268E-01
   0.44332E-01  0.16673E-01
   0.47486E-01  0.16030E-01
   0.50842E-01  0.15507E-01
   0.54409E-01  0.14883E-01
   0.58194E-01  0.14365E-01
   0.62203E-01  0.13763E-01
   0.66437E-01  0.13244E-01
   0.70896E-01  0.12792E-01
   0.75575E-01  0.12228E-01
   0.80467E-01  0.11836E-01
   0.85561E-01  0.11357E-01
   0.90846E-01  0.10944E-01
   0.96306E-01  0.10530E-01
   0.10193      0.10155E-01
   0.10770      0.97645E-02
   0.11360      0.94258E-02
   0.11961      0.91233E-02
   0.12574      0.87947E-02
   0.13195      0.85052E-02
   0.13825      0.82162E-02
   0.14463      0.79796E-02
   0.15107      0.77006E-02
   0.15757      0.74600E-02
   0.16412      0.72340E-02
   0.17072      0.70123E-02
   0.17737      0.68092E-02
   0.18405      0.66036E-02
