#  NACA 0012                                       
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =  13.0000
#
#    x           cf
   0.49527E-05  0.28424E-02
   0.45242E-04  0.58885E-02
   0.12819E-03  0.12686E-01
   0.25555E-03  0.14537E-01
   0.42861E-03  0.19038E-01
   0.64861E-03  0.24353E-01
   0.91648E-03  0.27119E-01
   0.12327E-02  0.30247E-01
   0.15977E-02  0.31205E-01
   0.20115E-02  0.33503E-01
   0.24744E-02  0.36252E-01
   0.29862E-02  0.36300E-01
   0.35470E-02  0.36623E-01
   0.41570E-02  0.37408E-01
   0.48164E-02  0.37194E-01
   0.55256E-02  0.36890E-01
   0.62852E-02  0.36826E-01
   0.70962E-02  0.35503E-01
   0.79597E-02  0.35570E-01
   0.88769E-02  0.34183E-01
   0.98498E-02  0.33428E-01
   0.10880E-01  0.32654E-01
   0.11971E-01  0.31431E-01
   0.13124E-01  0.30275E-01
   0.14343E-01  0.29372E-01
   0.15632E-01  0.28380E-01
   0.16994E-01  0.27522E-01
   0.18435E-01  0.26519E-01
   0.19959E-01  0.25373E-01
   0.21572E-01  0.24647E-01
   0.23281E-01  0.23747E-01
   0.25092E-01  0.22416E-01
   0.27014E-01  0.22045E-01
   0.29054E-01  0.20787E-01
   0.31221E-01  0.20336E-01
   0.33526E-01  0.19356E-01
   0.35978E-01  0.18611E-01
   0.38590E-01  0.17829E-01
   0.41370E-01  0.17113E-01
   0.44332E-01  0.16331E-01
   0.47486E-01  0.15759E-01
   0.50842E-01  0.15073E-01
   0.54409E-01  0.14403E-01
   0.58194E-01  0.13829E-01
   0.62203E-01  0.13186E-01
   0.66437E-01  0.12680E-01
   0.70896E-01  0.12180E-01
   0.75575E-01  0.11656E-01
   0.80467E-01  0.11156E-01
   0.85561E-01  0.10702E-01
   0.90846E-01  0.10273E-01
   0.96306E-01  0.98671E-02
   0.10193      0.94382E-02
   0.10770      0.91115E-02
   0.11360      0.87403E-02
   0.11961      0.84273E-02
   0.12574      0.81116E-02
   0.13195      0.78040E-02
   0.13825      0.75141E-02
   0.14463      0.72889E-02
   0.15107      0.70134E-02
   0.15757      0.67727E-02
   0.16412      0.65445E-02
   0.17072      0.63400E-02
   0.17737      0.61297E-02
   0.18405      0.59379E-02
   0.19077      0.57308E-02
   0.19753      0.55662E-02
   0.20431      0.53801E-02
   0.21113      0.52160E-02
   0.21797      0.50375E-02
   0.22484      0.48894E-02
   0.23173      0.47359E-02
   0.23864      0.45954E-02
   0.24557      0.44648E-02
   0.25252      0.43204E-02
   0.25949      0.41811E-02
   0.26648      0.40605E-02
   0.27348      0.39312E-02
   0.28050      0.38083E-02
   0.28753      0.36940E-02
   0.29457      0.35768E-02
   0.30163      0.34715E-02
   0.30871      0.33578E-02
   0.31579      0.32588E-02
   0.32288      0.31520E-02
   0.32999      0.30536E-02
   0.33711      0.29552E-02
   0.34423      0.28553E-02
   0.35137      0.27641E-02
   0.35851      0.26703E-02
   0.36567      0.25785E-02
   0.37283      0.24923E-02
   0.38000      0.24061E-02
   0.38718      0.23183E-02
   0.39437      0.22329E-02
   0.40156      0.21514E-02
   0.40876      0.20703E-02
   0.41596      0.19889E-02
