#  NACA 0012                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           cf
   0.15978E-02  0.41300E-03
   0.12328E-02  0.56121E-02
   0.91656E-03  0.95008E-02
   0.64864E-03  0.14353E-01
   0.42864E-03  0.19472E-01
   0.25560E-03  0.25383E-01
   0.12821E-03  0.29886E-01
   0.45260E-04  0.33802E-01
   0.49557E-05  0.39337E-01
   0.49527E-05  0.43920E-01
   0.45242E-04  0.46814E-01
   0.12819E-03  0.50702E-01
   0.25555E-03  0.54574E-01
   0.42861E-03  0.54732E-01
   0.64861E-03  0.59856E-01
   0.91648E-03  0.59548E-01
   0.12327E-02  0.60867E-01
   0.15977E-02  0.59813E-01
   0.20115E-02  0.58641E-01
   0.24744E-02  0.59295E-01
   0.29862E-02  0.57199E-01
   0.35470E-02  0.55248E-01
   0.41570E-02  0.54182E-01
   0.48164E-02  0.51593E-01
   0.55256E-02  0.49467E-01
   0.62852E-02  0.47458E-01
   0.70962E-02  0.44849E-01
   0.79597E-02  0.43443E-01
   0.88769E-02  0.40618E-01
   0.98498E-02  0.38915E-01
   0.10880E-01  0.37008E-01
   0.11971E-01  0.34652E-01
   0.13124E-01  0.33061E-01
   0.14343E-01  0.31299E-01
   0.15632E-01  0.29745E-01
   0.16994E-01  0.28375E-01
   0.18435E-01  0.26433E-01
   0.19959E-01  0.25354E-01
   0.21572E-01  0.23938E-01
   0.23281E-01  0.22745E-01
   0.25092E-01  0.21232E-01
   0.27014E-01  0.20434E-01
   0.29054E-01  0.19102E-01
   0.31221E-01  0.18321E-01
   0.33526E-01  0.17273E-01
   0.35978E-01  0.16414E-01
   0.38590E-01  0.15487E-01
   0.41370E-01  0.14744E-01
   0.44332E-01  0.13934E-01
   0.47486E-01  0.13167E-01
   0.50842E-01  0.12534E-01
   0.54409E-01  0.11904E-01
   0.58194E-01  0.11274E-01
   0.62203E-01  0.10626E-01
   0.66437E-01  0.10149E-01
   0.70896E-01  0.96117E-02
   0.75575E-01  0.91670E-02
   0.80467E-01  0.86984E-02
   0.85561E-01  0.82678E-02
   0.90846E-01  0.78744E-02
   0.96306E-01  0.75056E-02
   0.10193      0.71329E-02
   0.10770      0.68112E-02
   0.11360      0.65048E-02
   0.11961      0.62189E-02
   0.12574      0.59407E-02
   0.13195      0.56796E-02
   0.13825      0.54295E-02
   0.14463      0.52113E-02
   0.15107      0.49825E-02
   0.15757      0.47595E-02
   0.16412      0.45821E-02
   0.17072      0.43894E-02
   0.17737      0.42003E-02
   0.18405      0.40263E-02
   0.19077      0.38615E-02
   0.19753      0.37079E-02
   0.20431      0.35434E-02
   0.21113      0.33886E-02
   0.21797      0.32431E-02
   0.22484      0.31032E-02
   0.23173      0.29662E-02
   0.23864      0.28376E-02
   0.24557      0.27149E-02
   0.25252      0.25856E-02
   0.25949      0.24645E-02
   0.26648      0.23485E-02
   0.27348      0.22286E-02
   0.28050      0.21169E-02
   0.28753      0.20136E-02
   0.29457      0.19016E-02
   0.30163      0.18019E-02
   0.30871      0.16979E-02
   0.31579      0.16015E-02
   0.32288      0.15031E-02
   0.32999      0.14090E-02
   0.33711      0.13174E-02
   0.34423      0.12275E-02
   0.35137      0.11390E-02
   0.35851      0.10504E-02
   0.36567      0.97034E-03
   0.37283      0.88752E-03
   0.38000      0.80779E-03
   0.38718      0.73112E-03
   0.39437      0.65474E-03
   0.40156      0.58307E-03
   0.40876      0.51210E-03
   0.41596      0.44582E-03
   0.42318      0.37873E-03
   0.43040      0.31670E-03
   0.43762      0.25689E-03
   0.44485      0.19847E-03
   0.45209      0.14491E-03
   0.45933      0.92617E-04
   0.46657      0.45138E-04
   0.47382     -0.23624E-05
   0.48108     -0.44918E-04
   0.48834     -0.85278E-04
   0.49560     -0.12242E-03
   0.50287     -0.15604E-03
   0.51014     -0.18729E-03
   0.51742     -0.21627E-03
   0.52470     -0.24227E-03
   0.53198     -0.26503E-03
   0.53926     -0.28594E-03
   0.54655     -0.30413E-03
   0.55384     -0.32027E-03
   0.56114     -0.33406E-03
   0.56844     -0.34623E-03
   0.57574     -0.35640E-03
   0.58304     -0.36494E-03
   0.59034     -0.37196E-03
   0.59765     -0.37764E-03
   0.60496     -0.38209E-03
   0.61227     -0.38554E-03
   0.61959     -0.38788E-03
   0.62690     -0.38952E-03
   0.63422     -0.39031E-03
   0.64153     -0.39051E-03
   0.64885     -0.39017E-03
   0.65617     -0.38938E-03
   0.66349     -0.38826E-03
   0.67082     -0.38683E-03
   0.67814     -0.38517E-03
   0.68546     -0.38335E-03
   0.69279     -0.38139E-03
   0.70011     -0.37934E-03
   0.70744     -0.37720E-03
   0.71477     -0.37505E-03
   0.72209     -0.37287E-03
   0.72942     -0.37067E-03
   0.73674     -0.36847E-03
   0.74407     -0.36624E-03
   0.75140     -0.36401E-03
   0.75872     -0.36175E-03
   0.76605     -0.35944E-03
   0.77337     -0.35704E-03
   0.78070     -0.35444E-03
   0.78802     -0.35152E-03
   0.79535     -0.34805E-03
   0.80267     -0.34354E-03
   0.80999     -0.23610E-03
   0.81731     -0.19848E-03
   0.82462     -0.13648E-03
   0.83194     -0.37035E-04
   0.83925      0.12776E-03
   0.84656      0.31552E-03
   0.85387      0.51578E-03
   0.86117      0.72389E-03
   0.86847      0.93207E-03
   0.87576      0.11335E-02
   0.88304      0.13297E-02
   0.89031      0.15130E-02
   0.89756      0.16849E-02
   0.90480      0.18420E-02
   0.91200      0.19822E-02
   0.91916      0.21098E-02
   0.92628      0.22242E-02
   0.93332      0.23218E-02
   0.94028      0.24045E-02
   0.94711      0.24734E-02
   0.95379      0.25285E-02
   0.96028      0.25694E-02
   0.96654      0.26146E-02
   0.97252      0.26715E-02
   0.97818      0.27182E-02
   0.98351      0.27546E-02
   0.98848      0.27820E-02
   0.99309      0.28047E-02
   0.99735      0.28208E-02
    1.0000      0.28691E-02
    1.0001       0.0000    
    1.0028       0.0000    
    1.0058       0.0000    
    1.0091       0.0000    
    1.0128       0.0000    
    1.0169       0.0000    
    1.0215       0.0000    
    1.0266       0.0000    
    1.0323       0.0000    
    1.0386       0.0000    
    1.0457       0.0000    
    1.0535       0.0000    
    1.0623       0.0000    
    1.0721       0.0000    
    1.0829       0.0000    
    1.0950       0.0000    
    1.1085       0.0000    
    1.1235       0.0000    
    1.1403       0.0000    
    1.1589       0.0000    
    1.1797       0.0000    
    1.2028       0.0000    
    1.2285       0.0000    
    1.2572       0.0000    
    1.2892       0.0000    
    1.3248       0.0000    
    1.3644       0.0000    
    1.4085       0.0000    
    1.4577       0.0000    
    1.5125       0.0000    
    1.5735       0.0000    
    1.6414       0.0000    
    1.7171       0.0000    
    1.8014       0.0000    
    1.8953       0.0000    
    1.9999       0.0000    

   0.20116E-02  0.30455E-02
   0.24744E-02  0.68932E-02
   0.29863E-02  0.10248E-01
   0.35471E-02  0.12983E-01
   0.41571E-02  0.14743E-01
   0.48164E-02  0.17220E-01
   0.55257E-02  0.18792E-01
   0.62854E-02  0.20087E-01
   0.70964E-02  0.21161E-01
   0.79599E-02  0.21701E-01
   0.88771E-02  0.21912E-01
   0.98499E-02  0.22990E-01
   0.10880E-01  0.22875E-01
   0.11971E-01  0.23119E-01
   0.13124E-01  0.23078E-01
   0.14343E-01  0.22879E-01
   0.15632E-01  0.22607E-01
   0.16994E-01  0.22381E-01
   0.18435E-01  0.22086E-01
   0.19959E-01  0.21456E-01
   0.21573E-01  0.21829E-01
   0.23281E-01  0.20434E-01
   0.25093E-01  0.20306E-01
   0.27014E-01  0.20108E-01
   0.29054E-01  0.19435E-01
   0.31221E-01  0.18974E-01
   0.33526E-01  0.18351E-01
   0.35979E-01  0.17820E-01
   0.38590E-01  0.17347E-01
   0.41371E-01  0.16818E-01
   0.44333E-01  0.16389E-01
   0.47486E-01  0.15723E-01
   0.50842E-01  0.15312E-01
   0.54409E-01  0.14798E-01
   0.58194E-01  0.14302E-01
   0.62203E-01  0.13803E-01
   0.66437E-01  0.13302E-01
   0.70896E-01  0.12822E-01
   0.75575E-01  0.12414E-01
   0.80467E-01  0.11991E-01
   0.85561E-01  0.11562E-01
   0.90846E-01  0.11136E-01
   0.96307E-01  0.10769E-01
   0.10193      0.10378E-01
   0.10770      0.10081E-01
   0.11360      0.97454E-02
   0.11961      0.93841E-02
   0.12574      0.91168E-02
   0.13195      0.88165E-02
   0.13825      0.85561E-02
   0.14463      0.82763E-02
   0.15107      0.80142E-02
   0.15757      0.77883E-02
   0.16412      0.75644E-02
   0.17072      0.73524E-02
   0.17737      0.71279E-02
   0.18405      0.69395E-02
   0.19077      0.67420E-02
   0.19753      0.65685E-02
   0.20432      0.63761E-02
   0.21113      0.62116E-02
   0.21797      0.60460E-02
   0.22484      0.58806E-02
   0.23173      0.57468E-02
   0.23864      0.55853E-02
   0.24557      0.54400E-02
   0.25252      0.53131E-02
   0.25949      0.51723E-02
   0.26648      0.50523E-02
   0.27348      0.49203E-02
   0.28050      0.48031E-02
   0.28753      0.46805E-02
   0.29457      0.45592E-02
   0.30163      0.44585E-02
   0.30871      0.43301E-02
   0.31579      0.42450E-02
   0.32288      0.41294E-02
   0.32999      0.40371E-02
   0.33711      0.39348E-02
   0.34423      0.38360E-02
   0.35137      0.37507E-02
   0.35851      0.36549E-02
   0.36567      0.35689E-02
   0.37283      0.34744E-02
   0.38000      0.33947E-02
   0.38718      0.33107E-02
   0.39437      0.32272E-02
   0.40156      0.31489E-02
   0.40876      0.30714E-02
   0.41596      0.29938E-02
   0.42318      0.29113E-02
   0.43040      0.28412E-02
   0.43762      0.27643E-02
   0.44485      0.26969E-02
   0.45209      0.26186E-02
   0.45933      0.25526E-02
   0.46657      0.24783E-02
   0.47382      0.24129E-02
   0.48108      0.23451E-02
   0.48834      0.22752E-02
   0.49560      0.22129E-02
   0.50287      0.21391E-02
   0.51014      0.20767E-02
   0.51742      0.20120E-02
   0.52470      0.19463E-02
   0.53198      0.18809E-02
   0.53926      0.18147E-02
   0.54655      0.17514E-02
   0.55385      0.16874E-02
   0.56114      0.16198E-02
   0.56844      0.15551E-02
   0.57574      0.14895E-02
   0.58304      0.14239E-02
   0.59035      0.13602E-02
   0.59765      0.12936E-02
   0.60496      0.12254E-02
   0.61227      0.11604E-02
   0.61959      0.10931E-02
   0.62690      0.10273E-02
   0.63422      0.95991E-03
   0.64153      0.89242E-03
   0.64885      0.82311E-03
   0.65617      0.75557E-03
   0.66349      0.68954E-03
   0.67082      0.62003E-03
   0.67814      0.55275E-03
   0.68546      0.48749E-03
   0.69279      0.42113E-03
   0.70011      0.35717E-03
   0.70744      0.29368E-03
   0.71477      0.23143E-03
   0.72209      0.17236E-03
   0.72942      0.11465E-03
   0.73675      0.59756E-04
   0.74407      0.81813E-05
   0.75140     -0.38957E-04
   0.75872     -0.83693E-04
   0.76605     -0.12384E-03
   0.77337     -0.15975E-03
   0.78070     -0.19172E-03
   0.78802     -0.21907E-03
   0.79535     -0.24175E-03
   0.80267     -0.26063E-03
   0.80999     -0.27543E-03
   0.81731     -0.28661E-03
   0.82462     -0.29452E-03
   0.83194     -0.29933E-03
   0.83925     -0.30177E-03
   0.84656     -0.30226E-03
   0.85387     -0.30144E-03
   0.86117     -0.30000E-03
   0.86847     -0.29748E-03
   0.87576     -0.29390E-03
   0.88304     -0.28990E-03
   0.89031     -0.28586E-03
   0.89756     -0.28189E-03
   0.90480     -0.27814E-03
   0.91200     -0.27463E-03
   0.91916     -0.27137E-03
   0.92628     -0.26833E-03
   0.93332     -0.26556E-03
   0.94028     -0.26300E-03
   0.94711     -0.26068E-03
   0.95379     -0.25855E-03
   0.96028     -0.25664E-03
   0.96654     -0.25491E-03
   0.97252     -0.25337E-03
   0.97818     -0.25199E-03
   0.98351     -0.25077E-03
   0.98848     -0.24969E-03
   0.99309     -0.24874E-03
   0.99735     -0.24791E-03
    1.0000     -0.20681E-03
    1.0001       0.0000    
    1.0028       0.0000    
    1.0058       0.0000    
    1.0091       0.0000    
    1.0128       0.0000    
    1.0169       0.0000    
    1.0215       0.0000    
    1.0266       0.0000    
    1.0323       0.0000    
    1.0386       0.0000    
    1.0457       0.0000    
    1.0535       0.0000    
    1.0623       0.0000    
    1.0721       0.0000    
    1.0829       0.0000    
    1.0950       0.0000    
    1.1085       0.0000    
    1.1235       0.0000    
    1.1403       0.0000    
    1.1589       0.0000    
    1.1797       0.0000    
    1.2028       0.0000    
    1.2285       0.0000    
    1.2572       0.0000    
    1.2892       0.0000    
    1.3248       0.0000    
    1.3644       0.0000    
    1.4085       0.0000    
    1.4577       0.0000    
    1.5125       0.0000    
    1.5735       0.0000    
    1.6414       0.0000    
    1.7171       0.0000    
    1.8014       0.0000    
    1.8953       0.0000    
    1.9999       0.0000    

