#  GRUMMAN K-2 AIRFOIL                             
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.92004E-03  0.90206E-03
   0.71625E-03  0.25395E-02
   0.54214E-03  0.32207E-02
   0.39313E-03  0.45175E-02
   0.26552E-03  0.75317E-02
   0.19630E-03  0.41979E-02
   0.95313E-04  0.11104E-01
   0.40619E-04  0.88064E-02
   0.94461E-05  0.11659E-01
  -0.36747E-05  0.12998E-01
   0.12968E-04  0.14744E-01
   0.51958E-04  0.16301E-01
   0.11783E-03  0.20032E-01
   0.21595E-03  0.21700E-01
   0.35184E-03  0.27022E-01
   0.53406E-03  0.30140E-01
   0.77928E-03  0.36205E-01
   0.11088E-02  0.37386E-01
   0.15428E-02  0.31365E-01
   0.20737E-02  0.25545E-01
   0.26829E-02  0.24477E-01
   0.33776E-02  0.15592E-01
   0.41380E-02  0.10411E-01
   0.49506E-02  0.88914E-02
   0.58109E-02  0.79485E-02
   0.67178E-02  0.72495E-02
   0.76703E-02  0.68386E-02
   0.86679E-02  0.64994E-02
   0.97117E-02  0.66336E-02
   0.10803E-01  0.63204E-02
   0.11945E-01  0.62548E-02
   0.13139E-01  0.62135E-02
   0.14387E-01  0.61547E-02
   0.15692E-01  0.63955E-02
   0.17058E-01  0.62985E-02
   0.18491E-01  0.61891E-02
   0.19998E-01  0.56075E-02
   0.21585E-01  0.47632E-02
   0.23258E-01  0.41806E-02
   0.25022E-01  0.36574E-02
   0.26881E-01  0.34215E-02
   0.28836E-01  0.35957E-02
   0.30889E-01  0.40689E-02
   0.33045E-01  0.46234E-02
   0.35314E-01  0.49034E-02
   0.37710E-01  0.46485E-02
   0.40241E-01  0.43881E-02
   0.42915E-01  0.42239E-02
   0.45741E-01  0.39623E-02
   0.48729E-01  0.36990E-02
   0.51887E-01  0.33014E-02
   0.55233E-01  0.28534E-02
   0.58788E-01  0.24028E-02
   0.62566E-01  0.18508E-02
   0.66577E-01  0.15509E-02
   0.70849E-01  0.12342E-02
   0.75402E-01  0.10775E-02
   0.80243E-01  0.10014E-02
   0.85374E-01  0.95520E-03
   0.90785E-01  0.96584E-03
   0.96466E-01  0.97601E-03
   0.10240      0.10095E-02
   0.10856      0.10429E-02
   0.11493      0.10659E-02
   0.12147      0.10892E-02
   0.12818      0.11017E-02
   0.13503      0.11002E-02
   0.14200      0.10714E-02
   0.14907      0.10538E-02
   0.15624      0.10309E-02
   0.16349      0.10198E-02
   0.17081      0.97916E-03
   0.17820      0.96393E-03
   0.18563      0.95190E-03
   0.19311      0.91773E-03
   0.20063      0.91424E-03
   0.20817      0.89870E-03
   0.21574      0.88378E-03
   0.22333      0.88551E-03
   0.23092      0.87436E-03
   0.23850      0.86860E-03
   0.24607      0.86492E-03
   0.25361      0.87319E-03
   0.26108      0.87144E-03
