#  GRUMMAN K-2 AIRFOIL                             
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =  13.0000
#
#    x           cf
   0.94461E-05  0.10891E-02
  -0.36747E-05  0.45044E-02
   0.12968E-04  0.87244E-02
   0.51958E-04  0.13149E-01
   0.11783E-03  0.18270E-01
   0.21595E-03  0.25456E-01
   0.35184E-03  0.33322E-01
   0.53406E-03  0.39979E-01
   0.77928E-03  0.51217E-01
   0.11088E-02  0.59127E-01
   0.15428E-02  0.59478E-01
   0.20737E-02  0.54488E-01
   0.26829E-02  0.52801E-01
   0.33776E-02  0.42544E-01
   0.41380E-02  0.39185E-01
   0.49506E-02  0.34927E-01
   0.58109E-02  0.33110E-01
   0.67178E-02  0.31115E-01
   0.76703E-02  0.29098E-01
   0.86679E-02  0.27884E-01
   0.97117E-02  0.27739E-01
   0.10803E-01  0.26802E-01
   0.11945E-01  0.25659E-01
   0.13139E-01  0.25357E-01
   0.14387E-01  0.24667E-01
   0.15692E-01  0.24224E-01
   0.17058E-01  0.23597E-01
   0.18491E-01  0.23231E-01
   0.19998E-01  0.22197E-01
   0.21585E-01  0.20519E-01
   0.23258E-01  0.18779E-01
   0.25022E-01  0.18025E-01
   0.26881E-01  0.17054E-01
   0.28836E-01  0.17063E-01
   0.30889E-01  0.17489E-01
   0.33045E-01  0.17904E-01
   0.35314E-01  0.18129E-01
   0.37710E-01  0.17538E-01
   0.40241E-01  0.16840E-01
   0.42915E-01  0.15990E-01
   0.45741E-01  0.15570E-01
   0.48729E-01  0.14612E-01
   0.51887E-01  0.13820E-01
   0.55233E-01  0.12525E-01
   0.58788E-01  0.11605E-01
   0.62566E-01  0.10386E-01
   0.66577E-01  0.95862E-02
   0.70849E-01  0.87812E-02
   0.75402E-01  0.82495E-02
   0.80243E-01  0.79545E-02
   0.85374E-01  0.76674E-02
   0.90785E-01  0.73789E-02
   0.96466E-01  0.72347E-02
   0.10240      0.70792E-02
   0.10856      0.69437E-02
   0.11493      0.67638E-02
   0.12147      0.65971E-02
   0.12818      0.65172E-02
   0.13503      0.63006E-02
   0.14200      0.61000E-02
   0.14907      0.59214E-02
   0.15624      0.57490E-02
   0.16349      0.55847E-02
   0.17081      0.54170E-02
   0.17820      0.52807E-02
   0.18563      0.51470E-02
   0.19311      0.49901E-02
   0.20063      0.49047E-02
   0.20817      0.47914E-02
   0.21574      0.46755E-02
   0.22333      0.46134E-02
   0.23092      0.45207E-02
   0.23850      0.44285E-02
   0.24607      0.43831E-02
   0.25361      0.43294E-02
   0.26108      0.42683E-02
   0.26847      0.41813E-02
   0.27579      0.41295E-02
   0.28299      0.41006E-02
   0.29002      0.41915E-02
   0.29682      0.42115E-02
   0.30343      0.40531E-02
   0.30988      0.36590E-02
   0.31625      0.32885E-02
   0.32258      0.31272E-02
   0.32892      0.32606E-02
   0.33530      0.35669E-02
   0.34179      0.39108E-02
   0.34842      0.40250E-02
   0.35524      0.39818E-02
   0.36229      0.38141E-02
   0.36954      0.37011E-02
   0.37694      0.36587E-02
   0.38445      0.36476E-02
   0.39202      0.36248E-02
   0.39966      0.35835E-02
   0.40737      0.35592E-02
   0.41514      0.35104E-02
   0.42295      0.34767E-02
   0.43079      0.34458E-02
   0.43864      0.34255E-02
   0.44650      0.33971E-02
   0.45437      0.33739E-02
   0.46224      0.33534E-02
   0.47012      0.33220E-02
   0.47801      0.33029E-02
   0.48590      0.32757E-02
   0.49380      0.32571E-02
   0.50169      0.32341E-02
   0.50958      0.32164E-02
   0.51748      0.31968E-02
   0.52537      0.31742E-02
   0.53326      0.31614E-02
   0.54115      0.31364E-02
   0.54904      0.31275E-02
   0.55693      0.31043E-02
   0.56482      0.30882E-02
   0.57270      0.30685E-02
   0.58058      0.30537E-02
   0.58846      0.30367E-02
   0.59633      0.30180E-02
   0.60421      0.30045E-02
   0.61208      0.29945E-02
   0.61994      0.29816E-02
   0.62779      0.29673E-02
   0.63563      0.29538E-02
   0.64347      0.29390E-02
   0.65129      0.29254E-02
   0.65911      0.29110E-02
   0.66693      0.28896E-02
   0.67473      0.28805E-02
   0.68252      0.28620E-02
   0.69030      0.28455E-02
   0.69806      0.28268E-02
   0.70580      0.28090E-02
   0.71350      0.27883E-02
   0.72118      0.27648E-02
   0.72884      0.27348E-02
   0.73646      0.27007E-02
   0.74405      0.26580E-02
   0.75161      0.25999E-02
   0.75914      0.25347E-02
   0.76665      0.24534E-02
   0.77414      0.23594E-02
   0.78162      0.22567E-02
   0.78909      0.21387E-02
   0.79655      0.20092E-02
   0.80402      0.18710E-02
   0.81149      0.17285E-02
   0.81896      0.15776E-02
   0.82645      0.14260E-02
   0.83396      0.12723E-02
   0.84146      0.11379E-02
   0.84891      0.10058E-02
   0.85628      0.87641E-03
   0.86355      0.74677E-03
   0.87073      0.61410E-03
   0.87782      0.47866E-03
   0.88484      0.34711E-03
   0.89181      0.21502E-03
   0.89876      0.92429E-04
   0.90568     -0.16440E-04
   0.91254     -0.10889E-03
   0.91932     -0.18223E-03
   0.92600     -0.23794E-03
   0.93253     -0.27836E-03
   0.93893     -0.30496E-03
   0.94520     -0.31978E-03
   0.95131     -0.32558E-03
   0.95727     -0.32601E-03
   0.96305     -0.32343E-03
   0.96867     -0.31793E-03
   0.97409     -0.31218E-03
   0.97929     -0.30706E-03
   0.98423     -0.30268E-03
   0.98889     -0.29908E-03
   0.99329     -0.29626E-03
   0.99740     -0.29377E-03
    1.0000     -0.24266E-03
    1.0001       0.0000    
    1.0027       0.0000    
    1.0056       0.0000    
    1.0089       0.0000    
    1.0126       0.0000    
    1.0167       0.0000    
    1.0212       0.0000    
    1.0263       0.0000    
    1.0320       0.0000    
    1.0383       0.0000    
    1.0453       0.0000    
    1.0532       0.0000    
    1.0619       0.0000    
    1.0717       0.0000    
    1.0825       0.0000    
    1.0946       0.0000    
    1.1081       0.0000    
    1.1231       0.0000    
    1.1398       0.0000    
    1.1584       0.0000    
    1.1792       0.0000    
    1.2023       0.0000    
    1.2280       0.0000    
    1.2567       0.0000    
    1.2887       0.0000    
    1.3242       0.0000    
    1.3639       0.0000    
    1.4080       0.0000    
    1.4572       0.0000    
    1.5119       0.0000    
    1.5729       0.0000    
    1.6408       0.0000    
    1.7165       0.0000    
    1.8007       0.0000    
    1.8946       0.0000    
    1.9991       0.0000    

   0.40619E-04  0.39719E-02
   0.95313E-04  0.63118E-02
   0.19630E-03  0.92204E-02
   0.26552E-03  0.14490E-01
   0.39313E-03  0.18657E-01
   0.54214E-03  0.22197E-01
   0.71625E-03  0.25185E-01
   0.92004E-03  0.32166E-01
   0.11545E-02  0.32622E-01
   0.14212E-02  0.42174E-01
   0.17253E-02  0.43352E-01
   0.20726E-02  0.54127E-01
   0.24656E-02  0.59041E-01
   0.29236E-02  0.55643E-01
   0.34163E-02  0.83909E-01
   0.40220E-02  0.61701E-01
   0.47047E-02  0.62431E-01
   0.54645E-02  0.49598E-01
   0.62883E-02  0.46190E-01
   0.71714E-02  0.43435E-01
   0.81091E-02  0.36623E-01
   0.91010E-02  0.33972E-01
   0.10147E-01  0.30954E-01
   0.11246E-01  0.28401E-01
   0.12399E-01  0.26427E-01
   0.13610E-01  0.24642E-01
   0.14880E-01  0.22925E-01
   0.16213E-01  0.21162E-01
   0.17613E-01  0.19655E-01
   0.19083E-01  0.18393E-01
   0.20629E-01  0.17377E-01
   0.22257E-01  0.15970E-01
   0.23973E-01  0.15509E-01
   0.25786E-01  0.14766E-01
   0.27703E-01  0.14138E-01
   0.29734E-01  0.13189E-01
   0.31891E-01  0.12830E-01
   0.34186E-01  0.12244E-01
   0.36631E-01  0.11918E-01
   0.39242E-01  0.11377E-01
   0.42034E-01  0.10966E-01
   0.45022E-01  0.10557E-01
   0.48223E-01  0.10384E-01
   0.51654E-01  0.10133E-01
   0.55327E-01  0.98189E-02
   0.59253E-01  0.97215E-02
   0.63440E-01  0.92806E-02
   0.67892E-01  0.91486E-02
   0.72616E-01  0.89448E-02
   0.77614E-01  0.86126E-02
   0.82884E-01  0.84729E-02
   0.88415E-01  0.81274E-02
   0.94191E-01  0.79867E-02
   0.10019      0.77294E-02
   0.10638      0.75863E-02
   0.11276      0.74149E-02
   0.11929      0.72626E-02
   0.12594      0.70645E-02
   0.13272      0.68848E-02
   0.13959      0.66767E-02
   0.14656      0.64491E-02
   0.15362      0.62666E-02
   0.16075      0.60362E-02
   0.16794      0.58988E-02
   0.17519      0.57063E-02
   0.18248      0.55475E-02
   0.18981      0.54262E-02
   0.19717      0.52443E-02
   0.20456      0.51403E-02
   0.21197      0.49929E-02
   0.21942      0.48335E-02
   0.22690      0.47312E-02
   0.23441      0.45777E-02
   0.24195      0.44783E-02
   0.24951      0.43614E-02
   0.25708      0.42552E-02
   0.26468      0.41651E-02
   0.27229      0.40715E-02
   0.27991      0.39726E-02
   0.28756      0.38991E-02
   0.29522      0.38147E-02
   0.30289      0.37447E-02
   0.31057      0.36610E-02
   0.31825      0.36101E-02
   0.32595      0.35228E-02
   0.33364      0.34712E-02
   0.34135      0.33856E-02
   0.34906      0.33443E-02
   0.35677      0.32597E-02
   0.36448      0.31886E-02
   0.37219      0.31226E-02
   0.37990      0.30479E-02
   0.38761      0.29608E-02
   0.39532      0.28951E-02
   0.40302      0.28081E-02
   0.41072      0.27338E-02
   0.41842      0.26477E-02
   0.42610      0.25576E-02
   0.43378      0.24726E-02
   0.44144      0.23741E-02
   0.44910      0.22686E-02
   0.45674      0.21548E-02
   0.46437      0.20415E-02
   0.47199      0.19093E-02
   0.47960      0.17772E-02
   0.48720      0.16311E-02
   0.49478      0.14867E-02
   0.50235      0.13245E-02
   0.50991      0.11642E-02
   0.51745      0.99595E-03
   0.52498      0.82412E-03
   0.53250      0.65531E-03
   0.54000      0.48608E-03
   0.54749      0.32522E-03
   0.55497      0.17057E-03
   0.56243      0.32124E-04
   0.56987     -0.91382E-04
   0.57730     -0.19264E-03
   0.58471     -0.27278E-03
   0.59210     -0.33029E-03
   0.59948     -0.36741E-03
   0.60683     -0.38709E-03
   0.61417     -0.39343E-03
   0.62149     -0.39230E-03
   0.62879     -0.38595E-03
   0.63608     -0.37653E-03
   0.64335     -0.36728E-03
