#  GRUMMAN K-2 AIRFOIL                             
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           cf
   0.26552E-03  0.27190E-02
   0.19630E-03  0.31203E-02
   0.95313E-04  0.97990E-02
   0.40619E-04  0.11526E-01
   0.94461E-05  0.17485E-01
  -0.36747E-05  0.21782E-01
   0.12968E-04  0.24776E-01
   0.51958E-04  0.30908E-01
   0.11783E-03  0.39372E-01
   0.21595E-03  0.43433E-01
   0.35184E-03  0.53845E-01
   0.53406E-03  0.65940E-01
   0.77928E-03  0.76176E-01
   0.11088E-02  0.84010E-01
   0.15428E-02  0.78448E-01
   0.20737E-02  0.68549E-01
   0.26829E-02  0.62780E-01
   0.33776E-02  0.49551E-01
   0.41380E-02  0.41521E-01
   0.49506E-02  0.36110E-01
   0.58109E-02  0.31855E-01
   0.67178E-02  0.30602E-01
   0.76703E-02  0.28383E-01
   0.86679E-02  0.27187E-01
   0.97117E-02  0.25946E-01
   0.10803E-01  0.25488E-01
   0.11945E-01  0.24310E-01
   0.13139E-01  0.23765E-01
   0.14387E-01  0.23065E-01
   0.15692E-01  0.23044E-01
   0.17058E-01  0.22421E-01
   0.18491E-01  0.21361E-01
   0.19998E-01  0.20860E-01
   0.21585E-01  0.19200E-01
   0.23258E-01  0.17296E-01
   0.25022E-01  0.16443E-01
   0.26881E-01  0.15574E-01
   0.28836E-01  0.15330E-01
   0.30889E-01  0.15912E-01
   0.33045E-01  0.16329E-01
   0.35314E-01  0.16538E-01
   0.37710E-01  0.15917E-01
   0.40241E-01  0.15466E-01
   0.42915E-01  0.14584E-01
   0.45741E-01  0.14182E-01
   0.48729E-01  0.13322E-01
   0.51887E-01  0.12339E-01
   0.55233E-01  0.11236E-01
   0.58788E-01  0.10192E-01
   0.62566E-01  0.89706E-02
   0.66577E-01  0.80196E-02
   0.70849E-01  0.72515E-02
   0.75402E-01  0.66808E-02
   0.80243E-01  0.63600E-02
   0.85374E-01  0.60667E-02
   0.90785E-01  0.58018E-02
   0.96466E-01  0.56494E-02
   0.10240      0.55377E-02
   0.10856      0.54323E-02
   0.11493      0.52724E-02
   0.12147      0.51829E-02
   0.12818      0.50910E-02
   0.13503      0.50003E-02
   0.14200      0.48147E-02
   0.14907      0.46916E-02
   0.15624      0.45543E-02
   0.16349      0.44396E-02
   0.17081      0.42597E-02
   0.17820      0.41776E-02
   0.18563      0.40854E-02
   0.19311      0.39270E-02
   0.20063      0.38779E-02
   0.20817      0.37676E-02
   0.21574      0.36787E-02
   0.22333      0.36104E-02
   0.23092      0.35550E-02
   0.23850      0.34835E-02
   0.24607      0.34243E-02
   0.25361      0.33929E-02
   0.26108      0.33360E-02
   0.26847      0.32617E-02
   0.27579      0.32245E-02
   0.28299      0.31981E-02
   0.29002      0.32690E-02
   0.29682      0.32879E-02
   0.30343      0.31455E-02
   0.30988      0.28347E-02
   0.31625      0.25171E-02
   0.32258      0.23830E-02
   0.32892      0.24866E-02
   0.33530      0.27368E-02
   0.34179      0.30059E-02
   0.34842      0.31015E-02
   0.35524      0.30727E-02
   0.36229      0.29439E-02
   0.36954      0.28508E-02
   0.37694      0.28201E-02
   0.38445      0.28019E-02
