#  NACA 0012                                       
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   5.0000
#
#    x           cf
   0.49527E-05  0.78860E-03
   0.45242E-04  0.21048E-02
   0.12819E-03  0.37129E-02
   0.25555E-03  0.48473E-02
   0.42861E-03  0.65278E-02
   0.64861E-03  0.74199E-02
   0.91648E-03  0.87022E-02
   0.12327E-02  0.93832E-02
   0.15977E-02  0.10405E-01
   0.20115E-02  0.10513E-01
   0.24744E-02  0.11773E-01
   0.29862E-02  0.11557E-01
   0.35470E-02  0.11737E-01
   0.41570E-02  0.11844E-01
   0.48164E-02  0.11953E-01
   0.55256E-02  0.11362E-01
   0.62852E-02  0.12307E-01
   0.70962E-02  0.11146E-01
   0.79597E-02  0.11088E-01
   0.88769E-02  0.11023E-01
   0.98498E-02  0.10328E-01
   0.10880E-01  0.10734E-01
   0.11971E-01  0.97676E-02
   0.13124E-01  0.96775E-02
   0.14343E-01  0.92404E-02
   0.15632E-01  0.90913E-02
   0.16994E-01  0.86883E-02
   0.18435E-01  0.82974E-02
   0.19959E-01  0.81541E-02
   0.21572E-01  0.77030E-02
   0.23281E-01  0.75907E-02
   0.25092E-01  0.69745E-02
   0.27014E-01  0.70756E-02
   0.29054E-01  0.65568E-02
   0.31221E-01  0.64191E-02
   0.33526E-01  0.60779E-02
   0.35978E-01  0.59020E-02
   0.38590E-01  0.56286E-02
   0.41370E-01  0.54019E-02
   0.44332E-01  0.51475E-02
   0.47486E-01  0.49900E-02
   0.50842E-01  0.47328E-02
   0.54409E-01  0.45830E-02
   0.58194E-01  0.43786E-02
   0.62203E-01  0.41582E-02
   0.66437E-01  0.40210E-02
   0.70896E-01  0.38315E-02
   0.75575E-01  0.36793E-02
   0.80467E-01  0.35212E-02
   0.85561E-01  0.33881E-02
   0.90846E-01  0.32483E-02
   0.96306E-01  0.31314E-02
   0.10193      0.29877E-02
   0.10770      0.28811E-02
   0.11360      0.27639E-02
   0.11961      0.26737E-02
   0.12574      0.25743E-02
   0.13195      0.24673E-02
   0.13825      0.23831E-02
   0.14463      0.23235E-02
   0.15107      0.22146E-02
