#  NACA 0012                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  13.0000
#
#    x           cf
   0.91656E-03  0.36306E-05
   0.64864E-03  0.12678E-02
   0.42864E-03  0.28920E-02
   0.25560E-03  0.50492E-02
   0.12821E-03  0.55045E-02
   0.45260E-04  0.76365E-02
   0.49557E-05  0.93826E-02
   0.49527E-05  0.10268E-01
   0.45242E-04  0.11694E-01
   0.12819E-03  0.13140E-01
   0.25555E-03  0.14104E-01
   0.42861E-03  0.15084E-01
   0.64861E-03  0.15800E-01
   0.91648E-03  0.16264E-01
   0.12327E-02  0.17449E-01
   0.15977E-02  0.17108E-01
   0.20115E-02  0.16295E-01
   0.24744E-02  0.17966E-01
   0.29862E-02  0.15969E-01
   0.35470E-02  0.15892E-01
   0.41570E-02  0.16433E-01
   0.48164E-02  0.15811E-01
   0.55256E-02  0.14235E-01
   0.62852E-02  0.14706E-01
   0.70962E-02  0.13343E-01
   0.79597E-02  0.13305E-01
   0.88769E-02  0.12644E-01
   0.98498E-02  0.11891E-01
   0.10880E-01  0.11408E-01
   0.11971E-01  0.10832E-01
   0.13124E-01  0.10439E-01
   0.14343E-01  0.97030E-02
   0.15632E-01  0.94040E-02
   0.16994E-01  0.90150E-02
   0.18435E-01  0.83480E-02
   0.19959E-01  0.80894E-02
   0.21572E-01  0.77943E-02
   0.23281E-01  0.72401E-02
   0.25092E-01  0.69322E-02
   0.27014E-01  0.66007E-02
   0.29054E-01  0.62575E-02
   0.31221E-01  0.59519E-02
   0.33526E-01  0.56407E-02
   0.35978E-01  0.54098E-02
   0.38590E-01  0.51348E-02
   0.41370E-01  0.48896E-02
   0.44332E-01  0.46158E-02
   0.47486E-01  0.43858E-02
   0.50842E-01  0.41927E-02
   0.54409E-01  0.39973E-02
   0.58194E-01  0.38008E-02
   0.62203E-01  0.35915E-02
   0.66437E-01  0.34275E-02
   0.70896E-01  0.32497E-02
   0.75575E-01  0.31283E-02
   0.80467E-01  0.29702E-02
   0.85561E-01  0.28176E-02
   0.90846E-01  0.26968E-02
   0.96306E-01  0.25916E-02
   0.10193      0.24419E-02
   0.10770      0.23727E-02
   0.11360      0.22307E-02
   0.11961      0.21559E-02
   0.12574      0.20682E-02
   0.13195      0.19764E-02
   0.13825      0.19020E-02
   0.14463      0.18227E-02
   0.15107      0.17421E-02
   0.15757      0.16688E-02
   0.16412      0.16214E-02
   0.17072      0.15474E-02
   0.17737      0.14826E-02
   0.18405      0.14354E-02
   0.19077      0.13787E-02
   0.19753      0.13280E-02
   0.20431      0.12687E-02
   0.21113      0.12259E-02
   0.21797      0.11706E-02
   0.22484      0.11274E-02
   0.23173      0.10827E-02
   0.23864      0.10426E-02
   0.24557      0.10034E-02
   0.25252      0.95857E-03
   0.25949      0.92121E-03
   0.26648      0.88387E-03
   0.27348      0.84363E-03
   0.28050      0.80342E-03
   0.28753      0.77859E-03
   0.29457      0.73542E-03
   0.30163      0.70925E-03
   0.30871      0.67382E-03
   0.31579      0.64255E-03
   0.32288      0.61030E-03
   0.32999      0.58338E-03
   0.33711      0.54913E-03
   0.34423      0.52583E-03
   0.35137      0.49506E-03
   0.35851      0.46625E-03
   0.36567      0.44120E-03
   0.37283      0.41341E-03
   0.38000      0.38943E-03
   0.38718      0.36179E-03
   0.39437      0.33900E-03
   0.40156      0.31618E-03
   0.40876      0.29320E-03
   0.41596      0.27219E-03
   0.42318      0.24972E-03
   0.43040      0.23026E-03
   0.43762      0.21234E-03
   0.44485      0.19229E-03
   0.45209      0.17683E-03
   0.45933      0.16133E-03
   0.46657      0.14798E-03
   0.47382      0.13368E-03
   0.48108      0.12184E-03
   0.48834      0.11253E-03
   0.49560      0.10490E-03
   0.50287      0.99909E-04
   0.51014      0.96723E-04
   0.51742      0.94884E-04
   0.52470      0.96494E-04
   0.53198      0.10274E-03
   0.53926      0.11205E-03
   0.54655      0.12938E-03
   0.55384      0.15399E-03
   0.56114      0.19413E-03
   0.56844      0.25813E-03
   0.57574      0.47972E-03
   0.58304      0.85058E-03
   0.59034      0.13852E-02
   0.59765      0.19952E-02
   0.60496      0.25970E-02
   0.61227      0.31211E-02
   0.61959      0.35587E-02
   0.62690      0.38919E-02
   0.63422      0.41514E-02
   0.64153      0.43380E-02
   0.64885      0.44725E-02
   0.65617      0.45661E-02
   0.66349      0.46197E-02
   0.67082      0.46521E-02
   0.67814      0.46636E-02
   0.68546      0.46586E-02
   0.69279      0.46423E-02
   0.70011      0.46144E-02
   0.70744      0.45899E-02
   0.71477      0.45457E-02
   0.72209      0.45045E-02
   0.72942      0.44575E-02
   0.73674      0.44107E-02
   0.74407      0.43631E-02
   0.75140      0.43161E-02
   0.75872      0.42601E-02
   0.76605      0.42086E-02
   0.77337      0.41520E-02
   0.78070      0.41037E-02
   0.78802      0.40499E-02
   0.79535      0.39957E-02
   0.80267      0.39403E-02
   0.80999      0.38848E-02
   0.81731      0.38351E-02
   0.82462      0.37771E-02
   0.83194      0.37220E-02
   0.83925      0.36655E-02
   0.84656      0.36140E-02
   0.85387      0.35515E-02
   0.86117      0.34965E-02
   0.86847      0.34389E-02
   0.87576      0.33715E-02
   0.88304      0.33159E-02
   0.89031      0.32501E-02
   0.89756      0.31882E-02
   0.90480      0.31204E-02
   0.91200      0.30450E-02
   0.91916      0.29744E-02
   0.92628      0.28988E-02
   0.93332      0.28181E-02
   0.94028      0.27327E-02
   0.94711      0.26449E-02
   0.95379      0.25520E-02
   0.96028      0.24529E-02
   0.96654      0.23532E-02
   0.97252      0.22450E-02
   0.97818      0.21359E-02
   0.98351      0.20244E-02
   0.98848      0.19114E-02
   0.99309      0.18009E-02
   0.99735      0.16887E-02
    1.0000      0.16468E-02
    1.0001       0.0000    
    1.0028       0.0000    
    1.0058       0.0000    
    1.0091       0.0000    
    1.0128       0.0000    
    1.0169       0.0000    
    1.0215       0.0000    
    1.0266       0.0000    
    1.0323       0.0000    
    1.0386       0.0000    
    1.0457       0.0000    
    1.0535       0.0000    
    1.0623       0.0000    
    1.0721       0.0000    
    1.0829       0.0000    
    1.0950       0.0000    
    1.1085       0.0000    
    1.1235       0.0000    
    1.1403       0.0000    
    1.1589       0.0000    
    1.1797       0.0000    
    1.2028       0.0000    
    1.2285       0.0000    
    1.2572       0.0000    
    1.2892       0.0000    
    1.3248       0.0000    
    1.3644       0.0000    
    1.4085       0.0000    
    1.4577       0.0000    
    1.5125       0.0000    
    1.5735       0.0000    
    1.6414       0.0000    
    1.7171       0.0000    
    1.8014       0.0000    
    1.8953       0.0000    
    1.9999       0.0000    

   0.12328E-02  0.15277E-02
   0.15978E-02  0.26131E-02
   0.20116E-02  0.35261E-02
   0.24744E-02  0.50903E-02
   0.29863E-02  0.56537E-02
   0.35471E-02  0.57083E-02
   0.41571E-02  0.75342E-02
   0.48164E-02  0.70168E-02
   0.55257E-02  0.76634E-02
   0.62854E-02  0.77212E-02
   0.70964E-02  0.87616E-02
   0.79599E-02  0.77842E-02
   0.88771E-02  0.80735E-02
   0.98499E-02  0.86772E-02
   0.10880E-01  0.80588E-02
   0.11971E-01  0.80632E-02
   0.13124E-01  0.83622E-02
   0.14343E-01  0.77275E-02
   0.15632E-01  0.79425E-02
   0.16994E-01  0.76623E-02
   0.18435E-01  0.73607E-02
   0.19959E-01  0.73424E-02
   0.21573E-01  0.73735E-02
   0.23281E-01  0.67841E-02
   0.25093E-01  0.67693E-02
   0.27014E-01  0.66563E-02
   0.29054E-01  0.63298E-02
   0.31221E-01  0.63473E-02
   0.33526E-01  0.58892E-02
   0.35979E-01  0.57682E-02
   0.38590E-01  0.56727E-02
   0.41371E-01  0.54350E-02
   0.44333E-01  0.52646E-02
   0.47486E-01  0.50820E-02
   0.50842E-01  0.48983E-02
   0.54409E-01  0.47499E-02
   0.58194E-01  0.45715E-02
   0.62203E-01  0.43860E-02
   0.66437E-01  0.42111E-02
   0.70896E-01  0.41305E-02
   0.75575E-01  0.39204E-02
   0.80467E-01  0.37740E-02
