#  NACA 0012                                       
#  alpha =  -1.2100
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =  13.0000
#
#    x           cf
   0.25555E-03  0.12080E-02
   0.42861E-03  0.59692E-02
   0.64861E-03  0.10354E-01
   0.91648E-03  0.14034E-01
   0.12327E-02  0.17891E-01
   0.15977E-02  0.21035E-01
   0.20115E-02  0.23072E-01
   0.24744E-02  0.27128E-01
   0.29862E-02  0.26205E-01
   0.35470E-02  0.29532E-01
   0.41570E-02  0.29599E-01
   0.48164E-02  0.31082E-01
   0.55256E-02  0.30983E-01
   0.62852E-02  0.31723E-01
   0.70962E-02  0.30193E-01
   0.79597E-02  0.31438E-01
   0.88769E-02  0.30774E-01
   0.98498E-02  0.30282E-01
   0.10880E-01  0.29511E-01
   0.11971E-01  0.29157E-01
   0.13124E-01  0.28246E-01
   0.14343E-01  0.27289E-01
   0.15632E-01  0.27410E-01
   0.16994E-01  0.26042E-01
   0.18435E-01  0.25281E-01
   0.19959E-01  0.24761E-01
   0.21572E-01  0.23859E-01
   0.23281E-01  0.23230E-01
   0.25092E-01  0.22015E-01
   0.27014E-01  0.21803E-01
   0.29054E-01  0.20583E-01
   0.31221E-01  0.20246E-01
   0.33526E-01  0.19263E-01
   0.35978E-01  0.18814E-01
   0.38590E-01  0.18105E-01
   0.41370E-01  0.17342E-01
   0.44332E-01  0.16677E-01
   0.47486E-01  0.16070E-01
   0.50842E-01  0.15486E-01
   0.54409E-01  0.14872E-01
   0.58194E-01  0.14339E-01
   0.62203E-01  0.13709E-01
   0.66437E-01  0.13154E-01
   0.70896E-01  0.12721E-01
   0.75575E-01  0.12142E-01
   0.80467E-01  0.11759E-01
   0.85561E-01  0.11284E-01
   0.90846E-01  0.10844E-01
   0.96306E-01  0.10440E-01
   0.10193      0.10048E-01
   0.10770      0.96625E-02
   0.11360      0.93256E-02
   0.11961      0.90280E-02
   0.12574      0.86928E-02
   0.13195      0.84051E-02
   0.13825      0.81211E-02
   0.14463      0.78874E-02
   0.15107      0.76049E-02
   0.15757      0.73597E-02
   0.16412      0.71412E-02
   0.17072      0.69272E-02
   0.17737      0.67241E-02
   0.18405      0.65115E-02
   0.19077      0.63257E-02
   0.19753      0.61560E-02
   0.20431      0.59736E-02
   0.21113      0.57995E-02
   0.21797      0.56336E-02
   0.22484      0.54742E-02
   0.23173      0.53296E-02
   0.23864      0.51946E-02
   0.24557      0.50551E-02
   0.25252      0.49153E-02
   0.25949      0.47771E-02
   0.26648      0.46623E-02
   0.27348      0.45330E-02
   0.28050      0.44102E-02
   0.28753      0.43076E-02
   0.29457      0.41879E-02
   0.30163      0.40874E-02
   0.30871      0.39747E-02
   0.31579      0.38809E-02
   0.32288      0.37722E-02
   0.32999      0.36925E-02
   0.33711      0.35883E-02
   0.34423      0.34966E-02
   0.35137      0.34140E-02
   0.35851      0.33261E-02
   0.36567      0.32396E-02
   0.37283      0.31614E-02
   0.38000      0.30778E-02
   0.38718      0.30022E-02
   0.39437      0.29224E-02
   0.40156      0.28512E-02
   0.40876      0.27804E-02
   0.41596      0.27090E-02
   0.42318      0.26385E-02
   0.43040      0.25721E-02
   0.43762      0.25065E-02
   0.44485      0.24375E-02
   0.45209      0.23763E-02
   0.45933      0.23133E-02
   0.46657      0.22563E-02
   0.47382      0.21914E-02
   0.48108      0.21339E-02
   0.48834      0.20763E-02
   0.49560      0.20190E-02
   0.50287      0.19646E-02
   0.51014      0.19117E-02
   0.51742      0.18539E-02
   0.52470      0.18002E-02
   0.53198      0.17498E-02
   0.53926      0.16981E-02
   0.54655      0.16462E-02
   0.55384      0.15959E-02
   0.56114      0.15470E-02
   0.56844      0.14947E-02
   0.57574      0.14476E-02
   0.58304      0.13989E-02
   0.59034      0.13515E-02
   0.59765      0.13055E-02
   0.60496      0.12590E-02
   0.61227      0.12103E-02
   0.61959      0.11662E-02
   0.62690      0.11186E-02
   0.63422      0.10742E-02
   0.64153      0.10285E-02
   0.64885      0.98387E-03
   0.65617      0.94017E-03
   0.66349      0.89462E-03
   0.67082      0.84958E-03
   0.67814      0.80599E-03
   0.68546      0.76165E-03
   0.69279      0.71785E-03
   0.70011      0.67454E-03
   0.70744      0.63332E-03
   0.71477      0.58955E-03
   0.72209      0.54686E-03
   0.72942      0.50410E-03
   0.73674      0.46311E-03
   0.74407      0.42265E-03
   0.75140      0.38285E-03
   0.75872      0.34216E-03
   0.76605      0.30291E-03
   0.77337      0.26358E-03
   0.78070      0.22682E-03
   0.78802      0.18998E-03
   0.79535      0.15443E-03
   0.80267      0.11935E-03
   0.80999      0.85015E-04
   0.81731      0.54013E-04
   0.82462      0.22243E-04
   0.83194     -0.71038E-05
   0.83925     -0.35092E-04
   0.84656     -0.61235E-04
   0.85387     -0.86819E-04
   0.86117     -0.10960E-03
   0.86847     -0.13107E-03
   0.87576     -0.15145E-03
   0.88304     -0.16883E-03
   0.89031     -0.18527E-03
   0.89756     -0.19964E-03
   0.90480     -0.21250E-03
   0.91200     -0.22426E-03
   0.91916     -0.23396E-03
   0.92628     -0.24241E-03
   0.93332     -0.24953E-03
   0.94028     -0.25555E-03
   0.94711     -0.26030E-03
   0.95379     -0.26413E-03
   0.96028     -0.26711E-03
   0.96654     -0.26917E-03
   0.97252     -0.27076E-03
   0.97818     -0.27169E-03
   0.98351     -0.27223E-03
   0.98848     -0.27237E-03
   0.99309     -0.27214E-03
   0.99735     -0.27171E-03
    1.0000     -0.18960E-03
    1.0001       0.0000    
    1.0028       0.0000    
    1.0058       0.0000    
    1.0091       0.0000    
    1.0128       0.0000    
    1.0169       0.0000    
    1.0215       0.0000    
    1.0266       0.0000    
    1.0323       0.0000    
    1.0386       0.0000    
    1.0457       0.0000    
    1.0535       0.0000    
    1.0623       0.0000    
    1.0721       0.0000    
    1.0829       0.0000    
    1.0950       0.0000    
    1.1085       0.0000    
    1.1235       0.0000    
    1.1403       0.0000    
    1.1589       0.0000    
    1.1797       0.0000    
    1.2028       0.0000    
    1.2285       0.0000    
    1.2572       0.0000    
    1.2892       0.0000    
    1.3248       0.0000    
    1.3644       0.0000    
    1.4086       0.0000    
    1.4577       0.0000    
    1.5125       0.0000    
    1.5735       0.0000    
    1.6415       0.0000    
    1.7172       0.0000    
    1.8015       0.0000    
    1.8954       0.0000    
    2.0000       0.0000    

   0.12819E-03  0.29215E-02
   0.45242E-04  0.73358E-02
   0.49527E-05  0.13126E-01
   0.49557E-05  0.16632E-01
   0.45260E-04  0.22442E-01
   0.12821E-03  0.24413E-01
   0.25560E-03  0.29880E-01
   0.42864E-03  0.33802E-01
   0.64864E-03  0.34734E-01
   0.91656E-03  0.40197E-01
   0.12328E-02  0.39851E-01
   0.15978E-02  0.43621E-01
   0.20116E-02  0.43027E-01
   0.24744E-02  0.44778E-01
   0.29863E-02  0.43525E-01
   0.35471E-02  0.44868E-01
   0.41571E-02  0.42889E-01
   0.48164E-02  0.43122E-01
   0.55257E-02  0.42108E-01
   0.62854E-02  0.41362E-01
   0.70964E-02  0.40128E-01
   0.79599E-02  0.37813E-01
   0.88771E-02  0.36627E-01
   0.98499E-02  0.36014E-01
   0.10880E-01  0.34350E-01
   0.11971E-01  0.33465E-01
   0.13124E-01  0.32081E-01
   0.14343E-01  0.30529E-01
   0.15632E-01  0.29034E-01
   0.16994E-01  0.28199E-01
   0.18435E-01  0.27031E-01
   0.19959E-01  0.25506E-01
   0.21573E-01  0.24746E-01
   0.23281E-01  0.23459E-01
   0.25093E-01  0.22378E-01
   0.27014E-01  0.21750E-01
   0.29054E-01  0.20815E-01
   0.31221E-01  0.19509E-01
   0.33526E-01  0.18945E-01
   0.35979E-01  0.18067E-01
   0.38590E-01  0.17128E-01
   0.41371E-01  0.16369E-01
   0.44333E-01  0.15663E-01
   0.47486E-01  0.14933E-01
   0.50842E-01  0.14271E-01
   0.54409E-01  0.13707E-01
   0.58194E-01  0.13026E-01
   0.62203E-01  0.12420E-01
   0.66437E-01  0.11817E-01
   0.70896E-01  0.11290E-01
   0.75575E-01  0.10818E-01
   0.80467E-01  0.10306E-01
   0.85561E-01  0.98379E-02
   0.90846E-01  0.94035E-02
   0.96307E-01  0.89910E-02
   0.10193      0.86127E-02
   0.10770      0.82612E-02
   0.11360      0.79298E-02
   0.11961      0.75596E-02
   0.12574      0.73023E-02
   0.13195      0.69869E-02
   0.13825      0.67005E-02
   0.14463      0.64586E-02
   0.15107      0.61770E-02
   0.15757      0.59665E-02
   0.16412      0.57201E-02
   0.17072      0.55124E-02
   0.17737      0.53020E-02
   0.18405      0.50837E-02
   0.19077      0.49129E-02
   0.19753      0.47140E-02
   0.20432      0.45429E-02
   0.21113      0.43704E-02
   0.21797      0.41981E-02
   0.22484      0.40273E-02
   0.23173      0.38860E-02
   0.23864      0.37251E-02
   0.24557      0.35693E-02
   0.25252      0.34351E-02
   0.25949      0.32803E-02
   0.26648      0.31439E-02
   0.27348      0.30096E-02
   0.28050      0.28731E-02
   0.28753      0.27353E-02
   0.29457      0.26088E-02
   0.30163      0.24792E-02
   0.30871      0.23480E-02
   0.31579      0.22301E-02
   0.32288      0.20984E-02
   0.32999      0.19807E-02
   0.33711      0.18562E-02
   0.34423      0.17305E-02
   0.35137      0.16192E-02
   0.35851      0.14955E-02
   0.36567      0.13770E-02
   0.37283      0.12574E-02
   0.38000      0.11424E-02
   0.38718      0.10283E-02
   0.39437      0.91404E-03
   0.40156      0.80384E-03
   0.40876      0.69435E-03
   0.41596      0.58904E-03
   0.42318      0.48295E-03
   0.43040      0.38304E-03
   0.43762      0.28656E-03
   0.44485      0.19591E-03
   0.45209      0.10794E-03
   0.45933      0.27750E-04
   0.46657     -0.47589E-04
   0.47382     -0.11496E-03
   0.48108     -0.17556E-03
   0.48834     -0.22927E-03
   0.49560     -0.27550E-03
   0.50287     -0.31443E-03
   0.51014     -0.34591E-03
   0.51742     -0.37085E-03
   0.52470     -0.38968E-03
   0.53198     -0.40302E-03
   0.53926     -0.41134E-03
   0.54655     -0.41550E-03
   0.55385     -0.41638E-03
   0.56114     -0.41497E-03
   0.56844     -0.41226E-03
   0.57574     -0.40855E-03
   0.58304     -0.40302E-03
   0.59035     -0.39676E-03
   0.59765     -0.39037E-03
   0.60496     -0.38414E-03
   0.61227     -0.37822E-03
   0.61959     -0.37265E-03
   0.62690     -0.36747E-03
   0.63422     -0.36264E-03
   0.64153     -0.35816E-03
   0.64885     -0.35400E-03
   0.65617     -0.35013E-03
   0.66349     -0.34656E-03
   0.67082     -0.34322E-03
   0.67814     -0.34011E-03
   0.68546     -0.33722E-03
   0.69279     -0.33452E-03
   0.70011     -0.33199E-03
   0.70744     -0.32962E-03
   0.71477     -0.32740E-03
   0.72209     -0.32532E-03
   0.72942     -0.32336E-03
   0.73675     -0.32151E-03
   0.74407     -0.31976E-03
   0.75140     -0.31812E-03
   0.75872     -0.31656E-03
   0.76605     -0.31508E-03
   0.77337     -0.31367E-03
   0.78070     -0.31234E-03
   0.78802     -0.31106E-03
   0.79535     -0.30985E-03
   0.80267     -0.30869E-03
   0.80999     -0.30758E-03
   0.81731     -0.30651E-03
   0.82462     -0.30548E-03
   0.83194     -0.30449E-03
   0.83925     -0.30354E-03
   0.84656     -0.30262E-03
